Check failed for (fp64): x = -3.13530946828261; diff = 2.13457723718946e-15; -499/1000
Check failed for (fp64): x = -3.12902628297543; diff = 4.50160742015981e-16; -498/1000
Check failed for (fp64): x = -3.12274309766825; diff = 2.07993344769619e-15; -497/1000
Check failed for (fp64): x = -3.11645991236107; diff = 1.38777878078145e-15; -496/1000
Check failed for (fp64): x = -3.1101767270539; diff = 1.31145094783847e-15; -495/1000
Check failed for (fp64): x = -3.10389354174672; diff = 1.13797860024079e-15; -494/1000
Check failed for (fp64): x = -3.09761035643954; diff = 4.71844785465692e-16; -493/1000
Check failed for (fp64): x = -3.09132717113236; diff = 4.9960036108132e-16; -492/1000
Check failed for (fp64): x = -3.08504398582518; diff = 2.18575157973078e-16; -491/1000
Check failed for (fp64): x = -3.078760800518; diff = 1.59594559789866e-16; -490/1000
Check failed for (fp64): x = -3.07247761521082; diff = 4.9960036108132e-16; -489/1000
Check failed for (fp64): x = -3.06619442990364; diff = 3.33066907387547e-16; -488/1000
Check failed for (fp64): x = -3.05991124459646; diff = 1.80411241501588e-16; -487/1000
Check failed for (fp64): x = -3.05362805928928; diff = 4.23272528138341e-16; -486/1000
Check failed for (fp64): x = -3.0473448739821; diff = 1.52655665885959e-16; -485/1000
Check failed for (fp64): x = -3.04106168867492; diff = 2.4980018054066e-16; -484/1000
Check failed for (fp64): x = -3.03477850336774; diff = 4.02455846426619e-16; -483/1000
Check failed for (fp64): x = -3.02221213275338; diff = 4.02455846426619e-16; -481/1000
Check failed for (fp64): x = -3.0159289474462; diff = 2.22044604925031e-16; -480/1000
Check failed for (fp64): x = -3.00964576213902; diff = 3.19189119579733e-16; -479/1000
Check failed for (fp64): x = -3.00336257683184; diff = 1.66533453693773e-16; -478/1000
Check failed for (fp64): x = -2.99707939152466; diff = 1.80411241501588e-16; -477/1000
Check failed for (fp64): x = -2.99079620621748; diff = 3.19189119579733e-16; -476/1000
Check failed for (fp64): x = -2.9845130209103; diff = 3.05311331771918e-16; -475/1000
Check failed for (fp64): x = -2.97194665029594; diff = 3.33066907387547e-16; -473/1000
Check failed for (fp64): x = -2.94681390906723; diff = 1.2490009027033e-16; -469/1000
Check failed for (fp64): x = -2.92796435314569; diff = 2.4980018054066e-16; -466/1000
Check failed for (fp64): x = -2.91539798253133; diff = 2.08166817117217e-16; -464/1000
Check failed for (fp64): x = -2.90911479722415; diff = 1.52655665885959e-16; -463/1000
Check failed for (fp64): x = -2.89654842660979; diff = 2.22044604925031e-16; -461/1000
Check failed for (fp64): x = -2.89026524130261; diff = 1.38777878078145e-16; -460/1000
Check failed for (fp64): x = -2.88398205599543; diff = 1.38777878078145e-16; -459/1000
Check failed for (fp64): x = -2.87769887068825; diff = 1.11022302462516e-16; -458/1000
Check failed for (fp64): x = -2.87141568538107; diff = 1.94289029309402e-16; -457/1000
Check failed for (fp64): x = -2.85884931476671; diff = 1.66533453693773e-16; -455/1000
Check failed for (fp64): x = -2.85256612945953; diff = 1.11022302462516e-16; -454/1000
Check failed for (fp64): x = -2.84628294415235; diff = 1.38777878078145e-16; -453/1000
Check failed for (fp64): x = -2.83371657353799; diff = 1.66533453693773e-16; -451/1000
Check failed for (fp64): x = -2.82115020292363; diff = 1.66533453693773e-16; -449/1000
Check failed for (fp64): x = -2.80858383230927; diff = 1.38777878078145e-16; -447/1000
Check failed for (fp64): x = -2.79601746169492; diff = 1.11022302462516e-16; -445/1000
Check failed for (fp64): x = -2.78345109108056; diff = 1.66533453693773e-16; -443/1000
Check failed for (fp64): x = -2.75831834985184; diff = 1.11022302462516e-16; -439/1000
Check failed for (fp64): x = -2.71433605270158; diff = 1.38777878078145e-16; -432/1000
Check failed for (fp64): x = -2.7080528673944; diff = 1.11022302462516e-16; -431/1000
Check failed for (fp64): x = -2.70176968208722; diff = 1.11022302462516e-16; -430/1000
Check failed for (fp64): x = -2.63893782901543; diff = 1.11022302462516e-16; -420/1000
Check failed for (fp64): x = -2.62637145840107; diff = 1.11022302462516e-16; -418/1000
Check failed for (fp64): x = -2.60123871717235; diff = 1.11022302462516e-16; -414/1000
Check failed for (fp64): x = -2.58867234655799; diff = 1.11022302462516e-16; -412/1000
Check failed for (fp64): x = -2.55725642002209; diff = 1.11022302462516e-16; -407/1000
Check failed for (fp64): x = -2.41902634326414; diff = 1.11022302462516e-16; -385/1000
Check failed for (fp64): x = -2.4001767873426; diff = 1.11022302462516e-16; -382/1000
Check failed for (fp64): x = -2.28707945181337; diff = 1.11022302462516e-16; -364/1000
Check failed for (fp64): x = -2.21796441343439; diff = 1.11022302462516e-16; -353/1000
Check failed for (fp64): x = -2.21168122812721; diff = 1.11022302462516e-16; -352/1000
Check failed for (fp64): x = -2.1865484868985; diff = 1.11022302462516e-16; -348/1000
Check failed for (fp64): x = -2.16769893097696; diff = 1.11022302462516e-16; -345/1000
Check failed for (fp64): x = -2.12999981913388; diff = 1.11022302462516e-16; -339/1000
Check failed for (fp64): x = -2.09858389259798; diff = 1.11022302462516e-16; -334/1000
Check failed for (fp64): x = -2.0923007072908; diff = 1.11022302462516e-16; -333/1000
Check failed for (fp64): x = -2.04831841014055; diff = 1.11022302462516e-16; -326/1000
Check failed for (fp64): x = -2.03575203952619; diff = 1.11022302462516e-16; -324/1000
Check failed for (fp64): x = -2.01690248360465; diff = 1.11022302462516e-16; -321/1000
Check failed for (fp64): x = -2.01061929829747; diff = 1.11022302462516e-16; -320/1000
Check failed for (fp64): x = -1.99805292768311; diff = 1.11022302462516e-16; -318/1000
Check failed for (fp64): x = -1.99176974237593; diff = 1.11022302462516e-16; -317/1000
Check failed for (fp64): x = -1.95407063053285; diff = 1.11022302462516e-16; -311/1000
Check failed for (fp64): x = -1.94150425991849; diff = 1.11022302462516e-16; -309/1000
Check failed for (fp64): x = -1.93522107461131; diff = 1.11022302462516e-16; -308/1000
Check failed for (fp64): x = -1.92893788930413; diff = 1.11022302462516e-16; -307/1000
Check failed for (fp64): x = -1.91008833338259; diff = 1.11022302462516e-16; -304/1000
Check failed for (fp64): x = -1.89752196276823; diff = 1.11022302462516e-16; -302/1000
Check failed for (fp64): x = -1.89123877746106; diff = 1.11022302462516e-16; -301/1000
Check failed for (fp64): x = -1.88495559215388; diff = 1.11022302462516e-16; -300/1000
Check failed for (fp64): x = -1.87238922153952; diff = 1.11022302462516e-16; -298/1000
Check failed for (fp64): x = -1.86610603623234; diff = 1.11022302462516e-16; -297/1000
Check failed for (fp64): x = -1.82212373908208; diff = 1.11022302462516e-16; -290/1000
Check failed for (fp64): x = -1.8158405537749; diff = 1.11022302462516e-16; -289/1000
Check failed for (fp64): x = -1.784424627239; diff = 1.11022302462516e-16; -284/1000
Check failed for (fp64): x = -1.77185825662464; diff = 1.11022302462516e-16; -282/1000
Check failed for (fp64): x = -1.75929188601028; diff = 1.11022302462516e-16; -280/1000
Check failed for (fp64): x = -1.7530087007031; diff = 1.11022302462516e-16; -279/1000
Check failed for (fp64): x = -1.74672551539593; diff = 1.11022302462516e-16; -278/1000
Check failed for (fp64): x = -1.72787595947439; diff = 1.11022302462516e-16; -275/1000
Check failed for (fp64): x = -1.71530958886003; diff = 1.11022302462516e-16; -273/1000
Check failed for (fp64): x = -1.70902640355285; diff = 1.11022302462516e-16; -272/1000
Check failed for (fp64): x = -1.70274321824567; diff = 1.11022302462516e-16; -271/1000
Check failed for (fp64): x = -1.69646003293849; diff = 1.11022302462516e-16; -270/1000
Check failed for (fp64): x = -1.67132729170977; diff = 1.11022302462516e-16; -266/1000
Check failed for (fp64): x = -1.66504410640259; diff = 1.11022302462516e-16; -265/1000
Check failed for (fp64): x = -1.65876092109541; diff = 1.11022302462516e-16; -264/1000
Check failed for (fp64): x = -1.64619455048105; diff = 1.11022302462516e-16; -262/1000
Check failed for (fp64): x = -1.63362817986669; diff = 2.22044604925031e-16; -260/1000
Check failed for (fp64): x = -1.62106180925233; diff = 1.11022302462516e-16; -258/1000
Check failed for (fp64): x = -1.61477862394515; diff = 1.11022302462516e-16; -257/1000
Check failed for (fp64): x = -1.60221225333079; diff = 1.11022302462516e-16; -255/1000
Check failed for (fp64): x = -1.58336269740926; diff = 1.11022302462516e-16; -252/1000
Check failed for (fp64): x = -1.57707951210208; diff = 1.11022302462516e-16; -251/1000
Check failed for (fp64): x = -1.5707963267949; diff = 2.22044604925031e-16; -250/1000
Check failed for (fp64): x = -1.55194677087336; diff = 2.22044604925031e-16; -247/1000
Check failed for (fp64): x = -1.54566358556618; diff = 2.22044604925031e-16; -246/1000
Check failed for (fp64): x = -1.53309721495182; diff = 2.22044604925031e-16; -244/1000
Check failed for (fp64): x = -1.49539810310874; diff = 2.22044604925031e-16; -238/1000
Check failed for (fp64): x = -1.48911491780156; diff = 2.22044604925031e-16; -237/1000
Check failed for (fp64): x = -1.48283173249438; diff = 2.22044604925031e-16; -236/1000
Check failed for (fp64): x = -1.46398217657284; diff = 2.22044604925031e-16; -233/1000
Check failed for (fp64): x = -1.43256625003695; diff = 2.22044604925031e-16; -228/1000
Check failed for (fp64): x = -1.40115032350105; diff = 2.22044604925031e-16; -223/1000
Check failed for (fp64): x = -1.39486713819387; diff = 2.22044604925031e-16; -222/1000
Check failed for (fp64): x = -1.38230076757951; diff = 2.22044604925031e-16; -220/1000
Check failed for (fp64): x = -1.35088484104361; diff = 2.22044604925031e-16; -215/1000
Check failed for (fp64): x = -1.34460165573643; diff = 2.22044604925031e-16; -214/1000
Check failed for (fp64): x = -1.33831847042925; diff = 2.22044604925031e-16; -213/1000
Check failed for (fp64): x = -1.32575209981489; diff = 2.22044604925031e-16; -211/1000
Check failed for (fp64): x = -1.31946891450771; diff = 2.22044604925031e-16; -210/1000
Check failed for (fp64): x = -1.28176980266464; diff = 2.22044604925031e-16; -204/1000
Check failed for (fp64): x = -1.27548661735746; diff = 2.22044604925031e-16; -203/1000
Check failed for (fp64): x = -1.25663706143592; diff = 2.22044604925031e-16; -200/1000
Check failed for (fp64): x = -1.25035387612874; diff = 2.22044604925031e-16; -199/1000
Check failed for (fp64): x = -1.24407069082156; diff = 2.22044604925031e-16; -198/1000
Check failed for (fp64): x = -1.21893794959284; diff = 2.22044604925031e-16; -194/1000
Check failed for (fp64): x = -1.21265476428566; diff = 2.22044604925031e-16; -193/1000
Check failed for (fp64): x = -1.20637157897848; diff = 2.22044604925031e-16; -192/1000
Check failed for (fp64): x = -1.2000883936713; diff = 2.22044604925031e-16; -191/1000
Check failed for (fp64): x = -1.15610609652104; diff = 2.22044604925031e-16; -184/1000
Check failed for (fp64): x = -1.13097335529233; diff = 2.22044604925031e-16; -180/1000
Check failed for (fp64): x = -1.11212379937079; diff = 2.22044604925031e-16; -177/1000
Check failed for (fp64): x = -1.10584061406361; diff = 2.22044604925031e-16; -176/1000
