Check failed for (fp64): x = -0.973893722612836; diff = 1.11022302462516e-16; -155/1000
Check failed for (fp64): x = -0.942477796076938; diff = 1.11022302462516e-16; -150/1000
Check failed for (fp64): x = -0.917345054848219; diff = 1.11022302462516e-16; -146/1000
Check failed for (fp64): x = -0.898495498926681; diff = 1.11022302462516e-16; -143/1000
Check failed for (fp64): x = -0.892212313619501; diff = 1.11022302462516e-16; -142/1000
Check failed for (fp64): x = -0.873362757697963; diff = 1.11022302462516e-16; -139/1000
Check failed for (fp64): x = -0.867079572390783; diff = 1.11022302462516e-16; -138/1000
Check failed for (fp64): x = -0.860796387083603; diff = 1.11022302462516e-16; -137/1000
Check failed for (fp64): x = -0.848230016469244; diff = 1.11022302462516e-16; -135/1000
Check failed for (fp64): x = -0.841946831162065; diff = 1.11022302462516e-16; -134/1000
Check failed for (fp64): x = -0.829380460547705; diff = 1.11022302462516e-16; -132/1000
Check failed for (fp64): x = -0.823097275240526; diff = 1.11022302462516e-16; -131/1000
Check failed for (fp64): x = -0.816814089933346; diff = 1.11022302462516e-16; -130/1000
Check failed for (fp64): x = -0.810530904626167; diff = 1.11022302462516e-16; -129/1000
Check failed for (fp64): x = -0.804247719318987; diff = 1.11022302462516e-16; -128/1000
Check failed for (fp64): x = -0.791681348704628; diff = 1.11022302462516e-16; -126/1000
Check failed for (fp64): x = -0.779114978090269; diff = 2.22044604925031e-16; -124/1000
Check failed for (fp64): x = -0.747699051554371; diff = 2.22044604925031e-16; -119/1000
Check failed for (fp64): x = -0.735132680940012; diff = 2.22044604925031e-16; -117/1000
Check failed for (fp64): x = -0.716283125018473; diff = 2.22044604925031e-16; -114/1000
Check failed for (fp64): x = -0.647168086639497; diff = 2.22044604925031e-16; -103/1000
Check failed for (fp64): x = -0.640884901332318; diff = 4.44089209850063e-16; -102/1000
Check failed for (fp64): x = -0.628318530717959; diff = 2.22044604925031e-16; -100/1000
Check failed for (fp64): x = -0.622035345410779; diff = 2.22044604925031e-16; -99/1000
Check failed for (fp64): x = -0.596902604182061; diff = 2.22044604925031e-16; -95/1000
Check failed for (fp64): x = -0.578053048260522; diff = 2.22044604925031e-16; -92/1000
Check failed for (fp64): x = -0.571769862953342; diff = 2.22044604925031e-16; -91/1000
Check failed for (fp64): x = -0.552920307031804; diff = 2.22044604925031e-16; -88/1000
Check failed for (fp64): x = -0.534070751110265; diff = 2.22044604925031e-16; -85/1000
Check failed for (fp64): x = -0.515221195188726; diff = 2.22044604925031e-16; -82/1000
Check failed for (fp64): x = -0.508938009881546; diff = 2.22044604925031e-16; -81/1000
Check failed for (fp64): x = -0.502654824574367; diff = 2.22044604925031e-16; -80/1000
