Check failed for (fp32): alpha = -5.133362; beta = -1.283341; diff = 1.341105e-07; -817/1000
Check failed for (fp32): alpha = -5.127079; beta = -1.28177; diff = 8.940697e-08; -816/1000
Check failed for (fp32): alpha = -5.114513; beta = -1.278628; diff = 1.41561e-07; -814/1000
Check failed for (fp32): alpha = -5.10823; beta = -1.277058; diff = 1.266599e-07; -813/1000
Check failed for (fp32): alpha = -5.101946; beta = -1.275487; diff = 1.192093e-07; -812/1000
Check failed for (fp32): alpha = -5.095664; beta = -1.273916; diff = 1.341105e-07; -811/1000
Check failed for (fp32): alpha = -5.083097; beta = -1.270774; diff = 1.192093e-07; -809/1000
Check failed for (fp32): alpha = -5.076814; beta = -1.269204; diff = 1.266599e-07; -808/1000
Check failed for (fp32): alpha = -5.07053; beta = -1.267633; diff = 1.005828e-07; -807/1000
Check failed for (fp32): alpha = -5.064248; beta = -1.266062; diff = 1.192093e-07; -806/1000
Check failed for (fp32): alpha = -5.051681; beta = -1.26292; diff = 1.15484e-07; -804/1000
Check failed for (fp32): alpha = -5.045398; beta = -1.261349; diff = 2.533197e-07; -803/1000
Check failed for (fp32): alpha = -5.039114; beta = -1.259779; diff = 1.192093e-07; -802/1000
Check failed for (fp32): alpha = -5.032832; beta = -1.258208; diff = 1.229346e-07; -801/1000
Check failed for (fp32): alpha = -5.013982; beta = -1.253495; diff = 2.514571e-07; -798/1000
Check failed for (fp32): alpha = -5.007699; beta = -1.251925; diff = 1.005828e-07; -797/1000
Check failed for (fp32): alpha = -5.001416; beta = -1.250354; diff = 1.15484e-07; -796/1000
Check failed for (fp32): alpha = -4.982566; beta = -1.245641; diff = 2.384186e-07; -793/1000
Check failed for (fp32): alpha = -4.976283; beta = -1.244071; diff = 2.458692e-07; -792/1000
Check failed for (fp32): alpha = -4.97; beta = -1.2425; diff = 1.192093e-07; -791/1000
Check failed for (fp32): alpha = -4.957433; beta = -1.239358; diff = 1.266599e-07; -789/1000
Check failed for (fp32): alpha = -4.95115; beta = -1.237787; diff = 2.30968e-07; -788/1000
Check failed for (fp32): alpha = -4.944867; beta = -1.236217; diff = 2.384186e-07; -787/1000
Check failed for (fp32): alpha = -4.938584; beta = -1.234646; diff = 1.117587e-07; -786/1000
Check failed for (fp32): alpha = -4.926017; beta = -1.231504; diff = 1.192093e-07; -784/1000
Check failed for (fp32): alpha = -4.919734; beta = -1.229934; diff = 2.533197e-07; -783/1000
Check failed for (fp32): alpha = -4.913451; beta = -1.228363; diff = 2.384186e-07; -782/1000
Check failed for (fp32): alpha = -4.907168; beta = -1.226792; diff = 1.043081e-07; -781/1000
Check failed for (fp32): alpha = -4.894601; beta = -1.22365; diff = 1.192093e-07; -779/1000
Check failed for (fp32): alpha = -4.888318; beta = -1.22208; diff = 2.533197e-07; -778/1000
Check failed for (fp32): alpha = -4.882035; beta = -1.220509; diff = 2.533197e-07; -777/1000
Check failed for (fp32): alpha = -4.875752; beta = -1.218938; diff = 1.341105e-07; -776/1000
Check failed for (fp32): alpha = -4.863185; beta = -1.215796; diff = 1.341105e-07; -774/1000
Check failed for (fp32): alpha = -4.856903; beta = -1.214226; diff = 1.490116e-07; -773/1000
Check failed for (fp32): alpha = -4.850619; beta = -1.212655; diff = 2.533197e-07; -772/1000
Check failed for (fp32): alpha = -4.844336; beta = -1.211084; diff = 1.490116e-07; -771/1000
Check failed for (fp32): alpha = -4.831769; beta = -1.207942; diff = 1.192093e-07; -769/1000
Check failed for (fp32): alpha = -4.825487; beta = -1.206372; diff = 1.490116e-07; -768/1000
Check failed for (fp32): alpha = -4.819203; beta = -1.204801; diff = 2.384186e-07; -767/1000
