Check failed for (fp32): alpha = -4.172035; diff1 = 5.960464e-08; diff2 = 1.715054; -664/1000
Check failed for (fp32): alpha = -4.153186; diff1 = 5.960464e-08; diff2 = 1.695356; -661/1000
Check failed for (fp32): alpha = -4.146903; diff1 = 5.960464e-08; diff2 = 1.688656; -660/1000
Check failed for (fp32): alpha = -4.12177; diff1 = 5.960464e-08; diff2 = 1.661192; -656/1000
Check failed for (fp32): alpha = -4.109203; diff1 = 5.960464e-08; diff2 = 1.647065; -654/1000
Check failed for (fp32): alpha = -4.096637; diff1 = 5.960464e-08; diff2 = 1.632679; -652/1000
Check failed for (fp32): alpha = -4.065221; diff1 = 5.960464e-08; diff2 = 1.595589; -647/1000
Check failed for (fp32): alpha = -4.058938; diff1 = 5.960464e-08; diff2 = 1.587981; -646/1000
Check failed for (fp32): alpha = -4.046371; diff1 = 5.960464e-08; diff2 = 1.572577; -644/1000
Check failed for (fp32): alpha = -4.014956; diff1 = 5.960464e-08; diff2 = 1.532986; -639/1000
Check failed for (fp32): alpha = -3.952124; diff1 = 5.960464e-08; diff2 = 1.449306; -629/1000
Check failed for (fp32): alpha = -3.945841; diff1 = 5.960464e-08; diff2 = 1.440618; -628/1000
Check failed for (fp32): alpha = -3.939557; diff1 = 5.960464e-08; diff2 = 1.431873; -627/1000
Check failed for (fp32): alpha = -3.914425; diff1 = 5.960464e-08; diff2 = 1.396331; -623/1000
Check failed for (fp32): alpha = -3.908141; diff1 = 5.960464e-08; diff2 = 1.387306; -622/1000
Check failed for (fp32): alpha = -3.901858; diff1 = 5.960464e-08; diff2 = 1.378228; -621/1000
Check failed for (fp32): alpha = -3.895575; diff1 = 5.960464e-08; diff2 = 1.369094; -620/1000
Check failed for (fp32): alpha = -3.876725; diff1 = 5.960464e-08; diff2 = 1.341371; -617/1000
Check failed for (fp32): alpha = -3.832743; diff1 = 5.960464e-08; diff2 = 1.274848; -610/1000
Check failed for (fp32): alpha = -3.820177; diff1 = 5.960464e-08; diff2 = 1.255383; -608/1000
Check failed for (fp32): alpha = -3.807611; diff1 = 5.960464e-08; diff2 = 1.23572; -606/1000
Check failed for (fp32): alpha = -3.801327; diff1 = 5.960464e-08; diff2 = 1.225814; -605/1000
Check failed for (fp32): alpha = -3.751062; diff1 = 5.960464e-08; diff2 = 1.144864; -597/1000
Check failed for (fp32): alpha = -3.732212; diff1 = 5.960464e-08; diff2 = 1.113751; -594/1000
Check failed for (fp32): alpha = -3.713363; diff1 = 5.960464e-08; diff2 = 1.082243; -591/1000
Check failed for (fp32): alpha = -3.68823; diff1 = 5.960464e-08; diff2 = 1.039635; -587/1000
Check failed for (fp32): alpha = -3.681947; diff1 = 5.960464e-08; diff2 = 1.028879; -586/1000
Check failed for (fp32): alpha = -3.675663; diff1 = 5.960464e-08; diff2 = 1.018083; -585/1000
Check failed for (fp32): alpha = -2.670354; diff1 = 0.9079808; diff2 = 5.960464e-08; -425/1000
Check failed for (fp32): alpha = -2.588672; diff1 = 1.050349; diff2 = 5.960464e-08; -412/1000
Check failed for (fp32): alpha = -2.569823; diff1 = 1.082242; diff2 = 5.960464e-08; -409/1000
Check failed for (fp32): alpha = -2.532124; diff1 = 1.144864; diff2 = 5.960464e-08; -403/1000
Check failed for (fp32): alpha = -2.500708; diff1 = 1.19581; diff2 = 5.960464e-08; -398/1000
Check failed for (fp32): alpha = -2.494425; diff1 = 1.205859; diff2 = 5.960464e-08; -397/1000
Check failed for (fp32): alpha = -2.444159; diff1 = 1.284505; diff2 = 5.960464e-08; -389/1000
Check failed for (fp32): alpha = -2.400177; diff1 = 1.350666; diff2 = 5.960464e-08; -382/1000
Check failed for (fp32): alpha = -2.393894; diff1 = 1.359907; diff2 = 5.960464e-08; -381/1000
Check failed for (fp32): alpha = -2.38761; diff1 = 1.369094; diff2 = 5.960464e-08; -380/1000
Check failed for (fp32): alpha = -2.375044; diff1 = 1.387306; diff2 = 5.960464e-08; -378/1000
Check failed for (fp32): alpha = -2.337345; diff1 = 1.440618; diff2 = 5.960464e-08; -372/1000
Check failed for (fp32): alpha = -2.318495; diff1 = 1.466511; diff2 = 5.960464e-08; -369/1000
Check failed for (fp32): alpha = -2.293363; diff1 = 1.500222; diff2 = 5.960464e-08; -365/1000
Check failed for (fp32): alpha = -2.274513; diff1 = 1.524885; diff2 = 5.960464e-08; -362/1000
Check failed for (fp32): alpha = -2.24938; diff1 = 1.556925; diff2 = 5.960464e-08; -358/1000
Check failed for (fp32): alpha = -2.230531; diff1 = 1.58031; diff2 = 5.960464e-08; -355/1000
Check failed for (fp32): alpha = -2.217964; diff1 = 1.595589; diff2 = 5.960464e-08; -353/1000
Check failed for (fp32): alpha = -2.211681; diff1 = 1.603134; diff2 = 5.960464e-08; -352/1000
Check failed for (fp32): alpha = -2.199115; diff1 = 1.618034; diff2 = 5.960464e-08; -350/1000
Check failed for (fp32): alpha = -2.186548; diff1 = 1.632679; diff2 = 5.960464e-08; -348/1000
