Check failed for (fp64): x = -3.11645991236107; diff = 2.27373675443232e-13; -496/1000
Check failed for (fp64): x = -3.1101767270539; diff = 2.27373675443232e-13; -495/1000
Check failed for (fp64): x = -3.078760800518; diff = 2.8421709430404e-14; -490/1000
Check failed for (fp64): x = -3.07247761521082; diff = 2.8421709430404e-14; -489/1000
Check failed for (fp64): x = -3.06619442990364; diff = 5.6843418860808e-14; -488/1000
Check failed for (fp64): x = -3.05991124459646; diff = 2.8421709430404e-14; -487/1000
Check failed for (fp64): x = -3.04106168867492; diff = 2.8421709430404e-14; -484/1000
Check failed for (fp64): x = -3.03477850336774; diff = 1.4210854715202e-14; -483/1000
Check failed for (fp64): x = -3.02221213275338; diff = 1.4210854715202e-14; -481/1000
Check failed for (fp64): x = -3.0159289474462; diff = 7.105427357601e-15; -480/1000
Check failed for (fp64): x = -3.00964576213902; diff = 2.1316282072803e-14; -479/1000
Check failed for (fp64): x = -3.00336257683184; diff = 7.105427357601e-15; -478/1000
Check failed for (fp64): x = -2.99707939152466; diff = 7.105427357601e-15; -477/1000
Check failed for (fp64): x = -2.99079620621748; diff = 7.105427357601e-15; -476/1000
Check failed for (fp64): x = -2.97822983560312; diff = 7.105427357601e-15; -474/1000
Check failed for (fp64): x = -2.96566346498876; diff = 7.105427357601e-15; -472/1000
Check failed for (fp64): x = -2.95938027968158; diff = 1.06581410364015e-14; -471/1000
Check failed for (fp64): x = -2.94681390906723; diff = 7.105427357601e-15; -469/1000
Check failed for (fp64): x = -2.94053072376005; diff = 3.5527136788005e-15; -468/1000
Check failed for (fp64): x = -2.93424753845287; diff = 3.5527136788005e-15; -467/1000
Check failed for (fp64): x = -2.92168116783851; diff = 3.5527136788005e-15; -465/1000
Check failed for (fp64): x = -2.91539798253133; diff = 3.5527136788005e-15; -464/1000
Check failed for (fp64): x = -2.89026524130261; diff = 3.5527136788005e-15; -460/1000
Check failed for (fp64): x = -2.88398205599543; diff = 7.105427357601e-15; -459/1000
Check failed for (fp64): x = -2.87769887068825; diff = 1.77635683940025e-15; -458/1000
Check failed for (fp64): x = -2.87141568538107; diff = 3.5527136788005e-15; -457/1000
Check failed for (fp64): x = -2.85884931476671; diff = 1.77635683940025e-15; -455/1000
Check failed for (fp64): x = -2.85256612945953; diff = 3.5527136788005e-15; -454/1000
Check failed for (fp64): x = -2.84628294415235; diff = 3.5527136788005e-15; -453/1000
Check failed for (fp64): x = -2.83371657353799; diff = 1.77635683940025e-15; -451/1000
