Check failed for (fp128): x = -5.189911063730338429940286869177739133e+00; diff = 1.925929944387235853055977942584927319e-34; -826/1000
Check failed for (fp128): x = -5.171061507808799670509511008878061660e+00; diff = 1.925929944387235853055977942584927319e-34; -823/1000
Check failed for (fp128): x = -5.139645581272901738124884575045266386e+00; diff = 1.925929944387235853055977942584927319e-34; -818/1000
Check failed for (fp128): x = -5.127079210658542565171034001512148584e+00; diff = 1.925929944387235853055977942584927319e-34; -816/1000
Check failed for (fp128): x = -5.120796025351362978694108714745588913e+00; diff = 1.925929944387235853055977942584927319e-34; -815/1000
Check failed for (fp128): x = -5.114512840044183392217183427979030012e+00; diff = 1.925929944387235853055977942584927319e-34; -814/1000
Check failed for (fp128): x = -5.108229654737003805740258141212471111e+00; diff = 1.925929944387235853055977942584927319e-34; -813/1000
Check failed for (fp128): x = -5.101946469429824219263332854445912981e+00; diff = 1.925929944387235853055977942584927319e-34; -812/1000
Check failed for (fp128): x = -5.083096913508285459832556994146235508e+00; diff = 1.925929944387235853055977942584927319e-34; -809/1000
Check failed for (fp128): x = -5.057964172279567113924855847079999905e+00; diff = 1.925929944387235853055977942584927319e-34; -805/1000
Check failed for (fp128): x = -5.051680986972387527447930560313440233e+00; diff = 1.925929944387235853055977942584927319e-34; -804/1000
Check failed for (fp128): x = -5.039114616358028354494079986780322432e+00; diff = 1.925929944387235853055977942584927319e-34; -802/1000
Check failed for (fp128): x = -5.013981875129310008586378839714086058e+00; diff = 1.925929944387235853055977942584927319e-34; -798/1000
Check failed for (fp128): x = -4.995132319207771249155602979414409356e+00; diff = 1.925929944387235853055977942584927319e-34; -795/1000
Check failed for (fp128): x = -4.969999577979052903247901832348173752e+00; diff = 1.925929944387235853055977942584927319e-34; -791/1000
Check failed for (fp128): x = -4.951150022057514143817125972048496279e+00; diff = 1.925929944387235853055977942584927319e-34; -788/1000
Check failed for (fp128): x = -4.938583651443154970863275398515378478e+00; diff = 1.925929944387235853055977942584927319e-34; -786/1000
Check failed for (fp128): x = -4.888318168985718279047873104382906501e+00; diff = 1.925929944387235853055977942584927319e-34; -778/1000
Check failed for (fp128): x = -4.844335871835461173709396097016993425e+00; diff = 1.925929944387235853055977942584927319e-34; -771/1000
Check failed for (fp128): x = -4.806636759992383654847844376417639249e+00; diff = 1.925929944387235853055977942584927319e-34; -765/1000
Check failed for (fp128): x = -4.800353574685204068370919089651080349e+00; diff = 1.925929944387235853055977942584927319e-34; -764/1000
Check failed for (fp128): x = -4.794070389378024481893993802884520677e+00; diff = 1.925929944387235853055977942584927319e-34; -763/1000
Check failed for (fp128): x = -4.787787204070844895417068516117961776e+00; diff = 1.925929944387235853055977942584927319e-34; -762/1000
Check failed for (fp128): x = -4.781504018763665308940143229351402876e+00; diff = 1.925929944387235853055977942584927319e-34; -761/1000
Check failed for (fp128): x = -4.762654462842126549509367369051726173e+00; diff = 1.925929944387235853055977942584927319e-34; -758/1000
