Check failed for (fp64): alpha = -4.87575179837136; beta = -1.21893794959284; diff = 4.44089209850063e-16; -776/1000
Check failed for (fp64): alpha = -4.86946861306418; beta = -1.21736715326604; diff = 3.05311331771918e-16; -775/1000
Check failed for (fp64): alpha = -4.863185427757; beta = -1.21579635693925; diff = 2.22044604925031e-16; -774/1000
Check failed for (fp64): alpha = -4.84433587183546; beta = -1.21108396795887; diff = 2.4980018054066e-16; -771/1000
Check failed for (fp64): alpha = -4.83805268652828; beta = -1.20951317163207; diff = 2.77555756156289e-16; -770/1000
Check failed for (fp64): alpha = -4.8317695012211; beta = -1.20794237530528; diff = 4.44089209850063e-16; -769/1000
Check failed for (fp64): alpha = -4.82548631591392; beta = -1.20637157897848; diff = 4.44089209850063e-16; -768/1000
Check failed for (fp64): alpha = -4.81920313060674; beta = -1.20480078265169; diff = 4.44089209850063e-16; -767/1000
Check failed for (fp64): alpha = -4.81291994529956; beta = -1.20322998632489; diff = 1.66533453693773e-16; -766/1000
Check failed for (fp64): alpha = -4.80663675999238; beta = -1.2016591899981; diff = 1.66533453693773e-16; -765/1000
Check failed for (fp64): alpha = -4.78778720407084; beta = -1.19694680101771; diff = 2.22044604925031e-16; -762/1000
Check failed for (fp64): alpha = -4.78150401876367; beta = -1.19537600469092; diff = 2.22044604925031e-16; -761/1000
Check failed for (fp64): alpha = -4.77522083345649; beta = -1.19380520836412; diff = 4.9960036108132e-16; -760/1000
Check failed for (fp64): alpha = -4.76893764814931; beta = -1.19223441203733; diff = 4.44089209850063e-16; -759/1000
Check failed for (fp64): alpha = -4.76265446284213; beta = -1.19066361571053; diff = 4.44089209850063e-16; -758/1000
Check failed for (fp64): alpha = -4.75637127753495; beta = -1.18909281938374; diff = 2.77555756156289e-16; -757/1000
Check failed for (fp64): alpha = -4.75008809222777; beta = -1.18752202305694; diff = 2.77555756156289e-16; -756/1000
Check failed for (fp64): alpha = -4.73123853630623; beta = -1.18280963407656; diff = 2.22044604925031e-16; -753/1000
Check failed for (fp64): alpha = -4.72495535099905; beta = -1.18123883774976; diff = 2.22044604925031e-16; -752/1000
Check failed for (fp64): alpha = -4.71867216569187; beta = -1.17966804142297; diff = 4.9960036108132e-16; -751/1000
Check failed for (fp64): alpha = -4.71238898038469; beta = -1.17809724509617; diff = 4.9960036108132e-16; -750/1000
Check failed for (fp64): alpha = -4.70610579507751; beta = -1.17652644876938; diff = 3.88578058618805e-16; -749/1000
Check failed for (fp64): alpha = -4.69982260977033; beta = -1.17495565244258; diff = 2.77555756156289e-16; -748/1000
Check failed for (fp64): alpha = -4.69353942446315; beta = -1.17338485611579; diff = 2.22044604925031e-16; -747/1000
Check failed for (fp64): alpha = -4.67468986854161; beta = -1.1686724671354; diff = 2.77555756156289e-16; -744/1000
Check failed for (fp64): alpha = -4.66840668323443; beta = -1.16710167080861; diff = 2.22044604925031e-16; -743/1000
Check failed for (fp64): alpha = -4.66212349792725; beta = -1.16553087448181; diff = 4.44089209850063e-16; -742/1000
Check failed for (fp64): alpha = -4.65584031262007; beta = -1.16396007815502; diff = 3.88578058618805e-16; -741/1000
Check failed for (fp64): alpha = -4.64955712731289; beta = -1.16238928182822; diff = 4.44089209850063e-16; -740/1000
Check failed for (fp64): alpha = -4.64327394200571; beta = -1.16081848550143; diff = 1.11022302462516e-16; -739/1000
Check failed for (fp64): alpha = -4.63699075669853; beta = -1.15924768917463; diff = 2.22044604925031e-16; -738/1000
Check failed for (fp64): alpha = -4.618141200777; beta = -1.15453530019425; diff = 2.22044604925031e-16; -735/1000
Check failed for (fp64): alpha = -4.61185801546982; beta = -1.15296450386745; diff = 2.22044604925031e-16; -734/1000
Check failed for (fp64): alpha = -4.60557483016264; beta = -1.15139370754066; diff = 4.44089209850063e-16; -733/1000
Check failed for (fp64): alpha = -4.59929164485546; beta = -1.14982291121386; diff = 4.44089209850063e-16; -732/1000
Check failed for (fp64): alpha = -4.59300845954828; beta = -1.14825211488707; diff = 3.33066907387547e-16; -731/1000
Check failed for (fp64): alpha = -4.5867252742411; beta = -1.14668131856027; diff = 2.22044604925031e-16; -730/1000
Check failed for (fp64): alpha = -4.58044208893392; beta = -1.14511052223348; diff = 2.22044604925031e-16; -729/1000
Check failed for (fp64): alpha = -4.57415890362674; beta = -1.14353972590668; diff = 1.11022302462516e-16; -728/1000
Check failed for (fp64): alpha = -4.56787571831956; beta = -1.14196892957989; diff = 1.11022302462516e-16; -727/1000
Check failed for (fp64): alpha = -4.56159253301238; beta = -1.14039813325309; diff = 2.22044604925031e-16; -726/1000
Check failed for (fp64): alpha = -4.5553093477052; beta = -1.1388273369263; diff = 2.22044604925031e-16; -725/1000
Check failed for (fp64): alpha = -4.54902616239802; beta = -1.1372565405995; diff = 3.33066907387547e-16; -724/1000
Check failed for (fp64): alpha = -4.54274297709084; beta = -1.13568574427271; diff = 4.44089209850063e-16; -723/1000
Check failed for (fp64): alpha = -4.53645979178366; beta = -1.13411494794592; diff = 4.44089209850063e-16; -722/1000
Check failed for (fp64): alpha = -4.53017660647648; beta = -1.13254415161912; diff = 2.22044604925031e-16; -721/1000
Check failed for (fp64): alpha = -4.5238934211693; beta = -1.13097335529233; diff = 2.22044604925031e-16; -720/1000
Check failed for (fp64): alpha = -4.50504386524776; beta = -1.12626096631194; diff = 2.22044604925031e-16; -717/1000
