Check failed for (fp128): alpha = -2.199114857512855266923850368295651881e+00; beta = -5.497787143782138167309625920739129703e-01; diff = 1.925929944387235853055977942584927319e-34; -350/1000
Check failed for (fp128): alpha = -2.073451151369263537385344632964471939e+00; beta = -5.183627878423158843463361582411179847e-01; diff = 1.925929944387235853055977942584927319e-34; -330/1000
Check failed for (fp128): alpha = -2.035752039526186018523792912365117763e+00; beta = -5.089380098815465046309482280912794409e-01; diff = 1.925929944387235853055977942584927319e-34; -324/1000
Check failed for (fp128): alpha = -2.010619298297467672616091765298881775e+00; beta = -5.026548245743669181540229413247204437e-01; diff = 1.925929944387235853055977942584927319e-34; -320/1000
Check failed for (fp128): alpha = -1.960353815840030980800689471166409798e+00; beta = -4.900884539600077452001723677916024495e-01; diff = 1.925929944387235853055977942584927319e-34; -312/1000
Check failed for (fp128): alpha = -1.941504259918492221369913610866732903e+00; beta = -4.853760649796230553424784027166832257e-01; diff = 1.925929944387235853055977942584927319e-34; -309/1000
Check failed for (fp128): alpha = -1.928937889304133048416063037333614716e+00; beta = -4.822344723260332621040157593334036790e-01; diff = 1.925929944387235853055977942584927319e-34; -307/1000
Check failed for (fp128): alpha = -1.872389221539516770123735456434583453e+00; beta = -4.680973053848791925309338641086458633e-01; diff = 2.888894916580853779583966913877390978e-34; -298/1000
Check failed for (fp128): alpha = -1.778141441931822972969856154936198593e+00; beta = -4.445353604829557432424640387340496482e-01; diff = 1.925929944387235853055977942584927319e-34; -283/1000
Check failed for (fp128): alpha = -1.765575071317463800016005581403080598e+00; beta = -4.413937678293659500040013953507701496e-01; diff = 1.925929944387235853055977942584927319e-34; -281/1000
Check failed for (fp128): alpha = -1.702743218245667935246752713737490435e+00; beta = -4.256858045614169838116881784343726086e-01; diff = 1.925929944387235853055977942584927319e-34; -271/1000
Check failed for (fp128): alpha = -1.696460032938488348769827426970931534e+00; beta = -4.241150082346220871924568567427328834e-01; diff = 1.925929944387235853055977942584927319e-34; -270/1000
Check failed for (fp128): alpha = -1.683893662324129175815976853437813540e+00; beta = -4.209734155810322939539942133594533849e-01; diff = 1.925929944387235853055977942584927319e-34; -268/1000
Check failed for (fp128): alpha = -1.677610477016949589339051566671254639e+00; beta = -4.194026192542373973347628916678136597e-01; diff = 1.925929944387235853055977942584927319e-34; -267/1000
Check failed for (fp128): alpha = -1.652477735788231243431350419605018458e+00; beta = -4.131194339470578108578376049012546144e-01; diff = 1.925929944387235853055977942584927319e-34; -263/1000
Check failed for (fp128): alpha = -1.627344994559512897523649272538782277e+00; beta = -4.068362486398782243809123181346955691e-01; diff = 1.925929944387235853055977942584927319e-34; -259/1000
Check failed for (fp128): alpha = -1.621061809252333311046723985772223376e+00; beta = -4.052654523130833277616809964430558439e-01; diff = 1.925929944387235853055977942584927319e-34; -258/1000
Check failed for (fp128): alpha = -1.545663585566178273323620544573515410e+00; beta = -3.864158963915445683309051361433788526e-01; diff = 1.925929944387235853055977942584927319e-34; -246/1000
Check failed for (fp128): alpha = -1.495398103108741581508218250441043433e+00; beta = -3.738495257771853953770545626102608583e-01; diff = 1.925929944387235853055977942584927319e-34; -238/1000
Check failed for (fp128): alpha = -1.463982176572843649123591816608248351e+00; beta = -3.659955441432109122808979541520620878e-01; diff = 1.925929944387235853055977942584927319e-34; -233/1000
Check failed for (fp128): alpha = -1.413716694115406957308189522475776374e+00; beta = -3.534291735288517393270473806189440936e-01; diff = 1.925929944387235853055977942584927319e-34; -225/1000
Check failed for (fp128): alpha = -1.080707872834888874031149323848148853e+00; beta = -2.701769682087222185077873309620372132e-01; diff = 1.925929944387235853055977942584927319e-34; -172/1000
Check failed for (fp128): alpha = -1.061858316913350114600373463548471958e+00; beta = -2.654645792283375286500933658871179895e-01; diff = 1.925929944387235853055977942584927319e-34; -169/1000
Check failed for (fp128): alpha = -1.036725575684631768692672316482235969e+00; beta = -2.591813939211579421731680791205589923e-01; diff = 1.925929944387235853055977942584927319e-34; -165/1000
Check failed for (fp128): alpha = -9.676105373056563174464941620500868085e-01; beta = -2.419026343264140793616235405125217021e-01; diff = 1.925929944387235853055977942584927319e-34; -154/1000
Check failed for (fp128): alpha = -8.042477193189870690464367061195526907e-01; beta = -2.010619298297467672616091765298881727e-01; diff = 1.925929944387235853055977942584927319e-34; -128/1000
Check failed for (fp128): alpha = -6.220353454107790612156033898893415816e-01; beta = -1.555088363526947653039008474723353954e-01; diff = 1.925929944387235853055977942584927319e-34; -99/1000
Check failed for (fp128): alpha = -1.822123739082080078308333162302111572e-01; beta = -4.555309347705200195770832905755278931e-02; diff = 2.196763842816690894891974840760932723e-34; -29/1000
Check failed for (fp128): alpha = 1.822123739082080078308333162302111572e-01; beta = 4.555309347705200195770832905755278931e-02; diff = 2.196763842816690894891974840760932723e-34; 29/1000
Check failed for (fp128): alpha = 6.220353454107790612156033898893415816e-01; beta = 1.555088363526947653039008474723353954e-01; diff = 1.925929944387235853055977942584927319e-34; 99/1000
Check failed for (fp128): alpha = 8.042477193189870690464367061195526907e-01; beta = 2.010619298297467672616091765298881727e-01; diff = 1.925929944387235853055977942584927319e-34; 128/1000
Check failed for (fp128): alpha = 9.676105373056563174464941620500868085e-01; beta = 2.419026343264140793616235405125217021e-01; diff = 1.925929944387235853055977942584927319e-34; 154/1000
Check failed for (fp128): alpha = 1.036725575684631768692672316482235969e+00; beta = 2.591813939211579421731680791205589923e-01; diff = 1.925929944387235853055977942584927319e-34; 165/1000
Check failed for (fp128): alpha = 1.061858316913350114600373463548471958e+00; beta = 2.654645792283375286500933658871179895e-01; diff = 1.925929944387235853055977942584927319e-34; 169/1000
Check failed for (fp128): alpha = 1.080707872834888874031149323848148853e+00; beta = 2.701769682087222185077873309620372132e-01; diff = 1.925929944387235853055977942584927319e-34; 172/1000
Check failed for (fp128): alpha = 1.413716694115406957308189522475776374e+00; beta = 3.534291735288517393270473806189440936e-01; diff = 1.925929944387235853055977942584927319e-34; 225/1000
Check failed for (fp128): alpha = 1.463982176572843649123591816608248351e+00; beta = 3.659955441432109122808979541520620878e-01; diff = 1.925929944387235853055977942584927319e-34; 233/1000
Check failed for (fp128): alpha = 1.495398103108741581508218250441043433e+00; beta = 3.738495257771853953770545626102608583e-01; diff = 1.925929944387235853055977942584927319e-34; 238/1000
Check failed for (fp128): alpha = 1.545663585566178273323620544573515410e+00; beta = 3.864158963915445683309051361433788526e-01; diff = 1.925929944387235853055977942584927319e-34; 246/1000
Check failed for (fp128): alpha = 1.621061809252333311046723985772223376e+00; beta = 4.052654523130833277616809964430558439e-01; diff = 1.925929944387235853055977942584927319e-34; 258/1000
