Check failed for (fp64): alpha = -4.81291994529956; beta = -1.20322998632489; diff = 1.11022302462516e-16; -766/1000
Check failed for (fp64): alpha = -4.80663675999238; beta = -1.2016591899981; diff = 1.11022302462516e-16; -765/1000
Check failed for (fp64): alpha = -4.78778720407084; beta = -1.19694680101771; diff = 1.11022302462516e-16; -762/1000
Check failed for (fp64): alpha = -4.78150401876367; beta = -1.19537600469092; diff = 1.11022302462516e-16; -761/1000
Check failed for (fp64): alpha = -4.76265446284213; beta = -1.19066361571053; diff = 1.11022302462516e-16; -758/1000
Check failed for (fp64): alpha = -4.75008809222777; beta = -1.18752202305694; diff = 1.11022302462516e-16; -756/1000
Check failed for (fp64): alpha = -4.73752172161341; beta = -1.18438043040335; diff = 1.11022302462516e-16; -754/1000
Check failed for (fp64): alpha = -4.73123853630623; beta = -1.18280963407656; diff = 1.11022302462516e-16; -753/1000
Check failed for (fp64): alpha = -4.72495535099905; beta = -1.18123883774976; diff = 1.11022302462516e-16; -752/1000
Check failed for (fp64): alpha = -4.71867216569187; beta = -1.17966804142297; diff = 1.11022302462516e-16; -751/1000
Check failed for (fp64): alpha = -4.70610579507751; beta = -1.17652644876938; diff = 1.11022302462516e-16; -749/1000
Check failed for (fp64): alpha = -4.69982260977033; beta = -1.17495565244258; diff = 1.11022302462516e-16; -748/1000
Check failed for (fp64): alpha = -4.68725623915597; beta = -1.17181405978899; diff = 2.22044604925031e-16; -746/1000
Check failed for (fp64): alpha = -4.68097305384879; beta = -1.1702432634622; diff = 1.11022302462516e-16; -745/1000
Check failed for (fp64): alpha = -4.67468986854161; beta = -1.1686724671354; diff = 1.11022302462516e-16; -744/1000
Check failed for (fp64): alpha = -4.66840668323443; beta = -1.16710167080861; diff = 1.11022302462516e-16; -743/1000
Check failed for (fp64): alpha = -4.64327394200571; beta = -1.16081848550143; diff = 1.11022302462516e-16; -739/1000
Check failed for (fp64): alpha = -4.63699075669853; beta = -1.15924768917463; diff = 1.11022302462516e-16; -738/1000
