Check failed for (fp128): alpha = -5.604601294004191137417355795770632750e+00; beta = -1.401150323501047784354338948942658188e+00; diff = 7.703719777548943412223911770339709274e-34; -892/1000
Check failed for (fp128): alpha = -5.598318108697011550940430509004073850e+00; beta = -1.399579527174252887735107627251018462e+00; diff = 7.703719777548943412223911770339709274e-34; -891/1000
Check failed for (fp128): alpha = -5.592034923389831964463505222237514949e+00; beta = -1.398008730847457991115876305559378737e+00; diff = 1.540743955509788682444782354067941855e-33; -890/1000
Check failed for (fp128): alpha = -5.579468552775472791509654648704396377e+00; beta = -1.394867138193868197877413662176099094e+00; diff = 7.703719777548943412223911770339709274e-34; -888/1000
Check failed for (fp128): alpha = -5.573185367468293205032729361937837476e+00; beta = -1.393296341867073301258182340484459369e+00; diff = 1.540743955509788682444782354067941855e-33; -887/1000
Check failed for (fp128): alpha = -5.566902182161113618555804075171278575e+00; beta = -1.391725545540278404638951018792819644e+00; diff = 7.703719777548943412223911770339709274e-34; -886/1000
Check failed for (fp128): alpha = -5.560618996853934032078878788404719674e+00; beta = -1.390154749213483508019719697101179919e+00; diff = 1.540743955509788682444782354067941855e-33; -885/1000
Check failed for (fp128): alpha = -5.554335811546754445601953501638160773e+00; beta = -1.388583952886688611400488375409540193e+00; diff = 7.703719777548943412223911770339709274e-34; -884/1000
Check failed for (fp128): alpha = -5.548052626239574859125028214871601873e+00; beta = -1.387013156559893714781257053717900468e+00; diff = 2.311115933264683023667173531101912782e-33; -883/1000
Check failed for (fp128): alpha = -5.541769440932395272648102928105042972e+00; beta = -1.385442360233098818162025732026260743e+00; diff = 7.703719777548943412223911770339709274e-34; -882/1000
Check failed for (fp128): alpha = -5.535486255625215686171177641338484071e+00; beta = -1.383871563906303921542794410334621018e+00; diff = 2.311115933264683023667173531101912782e-33; -881/1000
Check failed for (fp128): alpha = -5.522919885010856513217327067805366269e+00; beta = -1.380729971252714128304331766951341567e+00; diff = 2.311115933264683023667173531101912782e-33; -879/1000
Check failed for (fp128): alpha = -5.510353514396497340263476494272247697e+00; beta = -1.377588378599124335065869123568061924e+00; diff = 7.703719777548943412223911770339709274e-34; -877/1000
Check failed for (fp128): alpha = -5.504070329089317753786551207505688796e+00; beta = -1.376017582272329438446637801876422199e+00; diff = 7.703719777548943412223911770339709274e-34; -876/1000
Check failed for (fp128): alpha = -5.497787143782138167309625920739129896e+00; beta = -1.374446785945534541827406480184782474e+00; diff = 1.540743955509788682444782354067941855e-33; -875/1000
Check failed for (fp128): alpha = -5.491503958474958580832700633972570995e+00; beta = -1.372875989618739645208175158493142749e+00; diff = 3.851859888774471706111955885169854637e-34; -874/1000
Check failed for (fp128): alpha = -5.485220773167778994355775347206012094e+00; beta = -1.371305193291944748588943836801503023e+00; diff = 1.925929944387235853055977942584927319e-33; -873/1000
Check failed for (fp128): alpha = -5.478937587860599407878850060439452423e+00; beta = -1.369734396965149851969712515109863106e+00; diff = 2.311115933264683023667173531101912782e-33; -872/1000
Check failed for (fp128): alpha = -5.472654402553419821401924773672893522e+00; beta = -1.368163600638354955350481193418223380e+00; diff = 3.851859888774471706111955885169854637e-34; -871/1000
Check failed for (fp128): alpha = -5.466371217246240234924999486906334621e+00; beta = -1.366592804311560058731249871726583655e+00; diff = 1.925929944387235853055977942584927319e-33; -870/1000
Check failed for (fp128): alpha = -5.460088031939060648448074200139775720e+00; beta = -1.365022007984765162112018550034943930e+00; diff = 3.851859888774471706111955885169854637e-34; -869/1000
Check failed for (fp128): alpha = -5.453804846631881061971148913373216819e+00; beta = -1.363451211657970265492787228343304205e+00; diff = 2.696301922142130194278369119618898246e-33; -868/1000
Check failed for (fp128): alpha = -5.441238476017521889017298339840099018e+00; beta = -1.360309619004380472254324584960024754e+00; diff = 2.311115933264683023667173531101912782e-33; -866/1000
Check failed for (fp128): alpha = -5.428672105403162716063447766306981216e+00; beta = -1.357168026350790679015861941576745304e+00; diff = 1.925929944387235853055977942584927319e-33; -864/1000
Check failed for (fp128): alpha = -5.416105734788803543109597192773863414e+00; beta = -1.354026433697200885777399298193465854e+00; diff = 2.696301922142130194278369119618898246e-33; -862/1000
Check failed for (fp128): alpha = -5.409822549481623956632671906007303743e+00; beta = -1.352455637370405989158167976501825936e+00; diff = 1.925929944387235853055977942584927319e-33; -861/1000
Check failed for (fp128): alpha = -5.403539364174444370155746619240744842e+00; beta = -1.350884841043611092538936654810186211e+00; diff = 1.925929944387235853055977942584927319e-33; -860/1000
Check failed for (fp128): alpha = -5.397256178867264783678821332474185942e+00; beta = -1.349314044716816195919705333118546485e+00; diff = 1.155557966632341511833586765550956391e-33; -859/1000
Check failed for (fp128): alpha = -5.390972993560085197201896045707627041e+00; beta = -1.347743248390021299300474011426906760e+00; diff = 1.540743955509788682444782354067941855e-33; -858/1000
Check failed for (fp128): alpha = -5.384689808252905610724970758941068140e+00; beta = -1.346172452063226402681242689735267035e+00; diff = 1.540743955509788682444782354067941855e-33; -857/1000
Check failed for (fp128): alpha = -5.378406622945726024248045472174508469e+00; beta = -1.344601655736431506062011368043627117e+00; diff = 7.703719777548943412223911770339709274e-34; -856/1000
Check failed for (fp128): alpha = -5.372123437638546437771120185407949568e+00; beta = -1.343030859409636609442780046351987392e+00; diff = 2.696301922142130194278369119618898246e-33; -855/1000
Check failed for (fp128): alpha = -5.359557067024187264817269611874831766e+00; beta = -1.339889266756046816204317402968707942e+00; diff = 2.311115933264683023667173531101912782e-33; -853/1000
Check failed for (fp128): alpha = -5.346990696409828091863419038341713194e+00; beta = -1.336747674102457022965854759585428299e+00; diff = 1.155557966632341511833586765550956391e-33; -851/1000
Check failed for (fp128): alpha = -5.340707511102648505386493751575154293e+00; beta = -1.335176877775662126346623437893788573e+00; diff = 1.540743955509788682444782354067941855e-33; -850/1000
Check failed for (fp128): alpha = -5.334424325795468918909568464808595393e+00; beta = -1.333606081448867229727392116202148848e+00; diff = 1.925929944387235853055977942584927319e-33; -849/1000
Check failed for (fp128): alpha = -5.328141140488289332432643178042036492e+00; beta = -1.332035285122072333108160794510509123e+00; diff = 1.925929944387235853055977942584927319e-33; -848/1000
Check failed for (fp128): alpha = -5.321857955181109745955717891275477591e+00; beta = -1.330464488795277436488929472818869398e+00; diff = 1.155557966632341511833586765550956391e-33; -847/1000
Check failed for (fp128): alpha = -5.315574769873930159478792604508918690e+00; beta = -1.328893692468482539869698151127229673e+00; diff = 1.155557966632341511833586765550956391e-33; -846/1000
Check failed for (fp128): alpha = -5.309291584566750573001867317742359789e+00; beta = -1.327322896141687643250466829435589947e+00; diff = 1.540743955509788682444782354067941855e-33; -845/1000
Check failed for (fp128): alpha = -5.303008399259570986524942030975800889e+00; beta = -1.325752099814892746631235507743950222e+00; diff = 1.155557966632341511833586765550956391e-33; -844/1000
Check failed for (fp128): alpha = -5.296725213952391400048016744209241988e+00; beta = -1.324181303488097850012004186052310497e+00; diff = 1.155557966632341511833586765550956391e-33; -843/1000
Check failed for (fp128): alpha = -5.290442028645211813571091457442683087e+00; beta = -1.322610507161302953392772864360670772e+00; diff = 1.155557966632341511833586765550956391e-33; -842/1000
Check failed for (fp128): alpha = -5.284158843338032227094166170676123416e+00; beta = -1.321039710834508056773541542669030854e+00; diff = 3.851859888774471706111955885169854637e-34; -841/1000
Check failed for (fp128): alpha = -5.277875658030852640617240883909564515e+00; beta = -1.319468914507713160154310220977391129e+00; diff = 2.311115933264683023667173531101912782e-33; -840/1000
Check failed for (fp128): alpha = -5.265309287416493467663390310376446713e+00; beta = -1.316327321854123366915847577594111678e+00; diff = 3.081487911019577364889564708135883710e-33; -838/1000
Check failed for (fp128): alpha = -5.252742916802134294709539736843328912e+00; beta = -1.313185729200533573677384934210832228e+00; diff = 2.696301922142130194278369119618898246e-33; -836/1000
Check failed for (fp128): alpha = -5.246459731494954708232614450076769240e+00; beta = -1.311614932873738677058153612519192310e+00; diff = 1.540743955509788682444782354067941855e-33; -835/1000
Check failed for (fp128): alpha = -5.240176546187775121755689163310210340e+00; beta = -1.310044136546943780438922290827552585e+00; diff = 1.155557966632341511833586765550956391e-33; -834/1000
Check failed for (fp128): alpha = -5.233893360880595535278763876543651439e+00; beta = -1.308473340220148883819690969135912860e+00; diff = 1.348150961071065097139184559809449123e-33; -833/1000
Check failed for (fp128): alpha = -5.227610175573415948801838589777092538e+00; beta = -1.306902543893353987200459647444273134e+00; diff = 1.348150961071065097139184559809449123e-33; -832/1000
Check failed for (fp128): alpha = -5.221326990266236362324913303010533637e+00; beta = -1.305331747566559090581228325752633409e+00; diff = 1.925929944387235853055977942584927319e-33; -831/1000
Check failed for (fp128): alpha = -5.215043804959056775847988016243974736e+00; beta = -1.303760951239764193961997004060993684e+00; diff = 1.155557966632341511833586765550956391e-33; -830/1000
Check failed for (fp128): alpha = -5.208760619651877189371062729477415835e+00; beta = -1.302190154912969297342765682369353959e+00; diff = 1.540743955509788682444782354067941855e-33; -829/1000
