Check failed for (fp64): alpha = -4.37309697379699; beta = -1.09327424344925; diff = 1.11022302462516e-16; -696/1000
Check failed for (fp64): alpha = -4.36681378848981; beta = -1.09170344712245; diff = 1.11022302462516e-16; -695/1000
Check failed for (fp64): alpha = -4.36053060318263; beta = -1.09013265079566; diff = 1.11022302462516e-16; -694/1000
Check failed for (fp64): alpha = -4.34796423256827; beta = -1.08699105814207; diff = 1.11022302462516e-16; -692/1000
Check failed for (fp64): alpha = -4.33539786195391; beta = -1.08384946548848; diff = 1.11022302462516e-16; -690/1000
Check failed for (fp64): alpha = -4.32911467664673; beta = -1.08227866916168; diff = 1.11022302462516e-16; -689/1000
Check failed for (fp64): alpha = -4.32283149133955; beta = -1.08070787283489; diff = 1.11022302462516e-16; -688/1000
Check failed for (fp64): alpha = -4.31654830603238; beta = -1.07913707650809; diff = 1.11022302462516e-16; -687/1000
Check failed for (fp64): alpha = -4.3102651207252; beta = -1.0775662801813; diff = 1.11022302462516e-16; -686/1000
Check failed for (fp64): alpha = -4.2788491941893; beta = -1.06971229854732; diff = 1.11022302462516e-16; -681/1000
Check failed for (fp64): alpha = -4.25999963826776; beta = -1.06499990956694; diff = 1.11022302462516e-16; -678/1000
Check failed for (fp64): alpha = -4.25371645296058; beta = -1.06342911324014; diff = 1.11022302462516e-16; -677/1000
Check failed for (fp64): alpha = -4.2474332676534; beta = -1.06185831691335; diff = 2.22044604925031e-16; -676/1000
Check failed for (fp64): alpha = -4.23486689703904; beta = -1.05871672425976; diff = 1.11022302462516e-16; -674/1000
Check failed for (fp64): alpha = -4.22230052642468; beta = -1.05557513160617; diff = 1.11022302462516e-16; -672/1000
Check failed for (fp64): alpha = -4.2160173411175; beta = -1.05400433527938; diff = 2.22044604925031e-16; -671/1000
Check failed for (fp64): alpha = -4.20973415581032; beta = -1.05243353895258; diff = 1.11022302462516e-16; -670/1000
Check failed for (fp64): alpha = -4.20345097050314; beta = -1.05086274262579; diff = 1.11022302462516e-16; -669/1000
Check failed for (fp64): alpha = -4.19716778519596; beta = -1.04929194629899; diff = 2.22044604925031e-16; -668/1000
Check failed for (fp64): alpha = -4.19088459988878; beta = -1.0477211499722; diff = 1.11022302462516e-16; -667/1000
Check failed for (fp64): alpha = -4.17831822927443; beta = -1.04457955731861; diff = 2.22044604925031e-16; -665/1000
Check failed for (fp64): alpha = -4.17203504396725; beta = -1.04300876099181; diff = 2.22044604925031e-16; -664/1000
Check failed for (fp64): alpha = -4.16575185866007; beta = -1.04143796466502; diff = 4.44089209850063e-16; -663/1000
Check failed for (fp64): alpha = -4.15946867335289; beta = -1.03986716833822; diff = 4.44089209850063e-16; -662/1000
Check failed for (fp64): alpha = -4.13433593212417; beta = -1.03358398303104; diff = 2.22044604925031e-16; -658/1000
Check failed for (fp64): alpha = -4.12805274681699; beta = -1.03201318670425; diff = 2.22044604925031e-16; -657/1000
Check failed for (fp64): alpha = -4.12176956150981; beta = -1.03044239037745; diff = 2.22044604925031e-16; -656/1000
