Check failed for (fp128): alpha = -4.071504079052372037047585824730235527e+00; beta = -1.017876019763093009261896456182558882e+00; diff = 1.925929944387235853055977942584927319e-34; -648/1000
Check failed for (fp128): alpha = -4.052654523130833277616809964430558824e+00; beta = -1.013163630782708319404202491107639706e+00; diff = 1.925929944387235853055977942584927319e-34; -645/1000
Check failed for (fp128): alpha = -4.027521781902114931709108817364322451e+00; beta = -1.006880445475528732927277204341080613e+00; diff = 1.925929944387235853055977942584927319e-34; -641/1000
Check failed for (fp128): alpha = -4.014955411287755758755258243831204649e+00; beta = -1.003738852821938939688814560957801162e+00; diff = 1.925929944387235853055977942584927319e-34; -639/1000
Check failed for (fp128): alpha = -4.008672225980576172278332957064644978e+00; beta = -1.002168056495144043069583239266161244e+00; diff = 1.925929944387235853055977942584927319e-34; -638/1000
Check failed for (fp128): alpha = -3.996105855366216999324482383531527561e+00; beta = -9.990264638415542498311205958828818904e-01; diff = 3.851859888774471706111955885169854637e-34; -636/1000
Check failed for (fp128): alpha = -3.989822670059037412847557096764968661e+00; beta = -9.974556675147593532118892741912421652e-01; diff = 1.925929944387235853055977942584927319e-34; -635/1000
Check failed for (fp128): alpha = -3.983539484751857826370631809998409760e+00; beta = -9.958848711879644565926579524996024400e-01; diff = 1.925929944387235853055977942584927319e-34; -634/1000
Check failed for (fp128): alpha = -3.977256299444678239893706523231850859e+00; beta = -9.943140748611695599734266308079627148e-01; diff = 1.925929944387235853055977942584927319e-34; -633/1000
Check failed for (fp128): alpha = -3.964689928830319066939855949698732287e+00; beta = -9.911724822075797667349639874246830717e-01; diff = 1.925929944387235853055977942584927319e-34; -631/1000
Check failed for (fp128): alpha = -3.933274002294421134555229515865937398e+00; beta = -9.833185005736052836388073789664843494e-01; diff = 1.925929944387235853055977942584927319e-34; -626/1000
Check failed for (fp128): alpha = -3.914424446372882375124453655566260695e+00; beta = -9.786061115932205937811134138915651738e-01; diff = 3.851859888774471706111955885169854637e-34; -623/1000
Check failed for (fp128): alpha = -3.908141261065702788647528368799701409e+00; beta = -9.770353152664256971618820921999253523e-01; diff = 1.925929944387235853055977942584927319e-34; -622/1000
Check failed for (fp128): alpha = -3.901858075758523202170603082033142508e+00; beta = -9.754645189396308005426507705082856271e-01; diff = 5.777789833161707559167933827754781956e-34; -621/1000
Check failed for (fp128): alpha = -3.895574890451343615693677795266583608e+00; beta = -9.738937226128359039234194488166459019e-01; diff = 1.925929944387235853055977942584927319e-34; -620/1000
Check failed for (fp128): alpha = -3.889291705144164029216752508500024707e+00; beta = -9.723229262860410073041881271250061767e-01; diff = 1.925929944387235853055977942584927319e-34; -619/1000
Check failed for (fp128): alpha = -3.883008519836984442739827221733465806e+00; beta = -9.707521299592461106849568054333664515e-01; diff = 3.851859888774471706111955885169854637e-34; -618/1000
Check failed for (fp128): alpha = -3.876725334529804856262901934966906135e+00; beta = -9.691813336324512140657254837417265337e-01; diff = 3.851859888774471706111955885169854637e-34; -617/1000
Check failed for (fp128): alpha = -3.864158963915445683309051361433788333e+00; beta = -9.660397409788614208272628403584470833e-01; diff = 1.925929944387235853055977942584927319e-34; -615/1000
Check failed for (fp128): alpha = -3.857875778608266096832126074667229432e+00; beta = -9.644689446520665242080315186668073581e-01; diff = 7.703719777548943412223911770339709274e-34; -614/1000
Check failed for (fp128): alpha = -3.851592593301086510355200787900670531e+00; beta = -9.628981483252716275888001969751676328e-01; diff = 7.703719777548943412223911770339709274e-34; -613/1000
Check failed for (fp128): alpha = -3.845309407993906923878275501134111631e+00; beta = -9.613273519984767309695688752835279076e-01; diff = 5.777789833161707559167933827754781956e-34; -612/1000
Check failed for (fp128): alpha = -3.839026222686727337401350214367552345e+00; beta = -9.597565556716818343503375535918880861e-01; diff = 7.703719777548943412223911770339709274e-34; -611/1000
Check failed for (fp128): alpha = -3.832743037379547750924424927600993444e+00; beta = -9.581857593448869377311062319002483609e-01; diff = 5.777789833161707559167933827754781956e-34; -610/1000
Check failed for (fp128): alpha = -3.826459852072368164447499640834434543e+00; beta = -9.566149630180920411118749102086086357e-01; diff = 3.851859888774471706111955885169854637e-34; -609/1000
Check failed for (fp128): alpha = -3.820176666765188577970574354067875642e+00; beta = -9.550441666912971444926435885169689105e-01; diff = 1.925929944387235853055977942584927319e-34; -608/1000
Check failed for (fp128): alpha = -3.813893481458008991493649067301316741e+00; beta = -9.534733703645022478734122668253291853e-01; diff = 5.777789833161707559167933827754781956e-34; -607/1000
Check failed for (fp128): alpha = -3.807610296150829405016723780534757070e+00; beta = -9.519025740377073512541809451336892675e-01; diff = 1.348150961071065097139184559809449123e-33; -606/1000
Check failed for (fp128): alpha = -3.801327110843649818539798493768198169e+00; beta = -9.503317777109124546349496234420495423e-01; diff = 1.540743955509788682444782354067941855e-33; -605/1000
Check failed for (fp128): alpha = -3.795043925536470232062873207001639268e+00; beta = -9.487609813841175580157183017504098171e-01; diff = 7.703719777548943412223911770339709274e-34; -604/1000
Check failed for (fp128): alpha = -3.788760740229290645585947920235080368e+00; beta = -9.471901850573226613964869800587700919e-01; diff = 1.540743955509788682444782354067941855e-33; -603/1000
Check failed for (fp128): alpha = -3.782477554922111059109022633468521467e+00; beta = -9.456193887305277647772556583671303667e-01; diff = 1.925929944387235853055977942584927319e-33; -602/1000
Check failed for (fp128): alpha = -3.776194369614931472632097346701962181e+00; beta = -9.440485924037328681580243366754905452e-01; diff = 5.200010849845536803251140444979303760e-33; -601/1000
Check failed for (fp128): alpha = -3.769911184307751886155172059935403280e+00; beta = -9.424777960769379715387930149838508200e-01; diff = 1.055728090000841214363305325074888945e-01; -600/1000
Check failed for (fp128): alpha = -3.763627999000572299678246773168844379e+00; beta = -9.409069997501430749195616932922110948e-01; diff = 4.622231866529366047334347062203825564e-33; -599/1000
Check failed for (fp128): alpha = -3.757344813693392713201321486402285478e+00; beta = -9.393362034233481783003303716005713696e-01; diff = 5.777789833161707559167933827754781956e-34; -598/1000
Check failed for (fp128): alpha = -3.751061628386213126724396199635726577e+00; beta = -9.377654070965532816810990499089316444e-01; diff = 1.540743955509788682444782354067941855e-33; -597/1000
Check failed for (fp128): alpha = -3.744778443079033540247470912869166906e+00; beta = -9.361946107697583850618677282172917266e-01; diff = 1.155557966632341511833586765550956391e-33; -596/1000
Check failed for (fp128): alpha = -3.738495257771853953770545626102608005e+00; beta = -9.346238144429634884426364065256520014e-01; diff = 1.348150961071065097139184559809449123e-33; -595/1000
Check failed for (fp128): alpha = -3.732212072464674367293620339336049105e+00; beta = -9.330530181161685918234050848340122762e-01; diff = 7.703719777548943412223911770339709274e-34; -594/1000
Check failed for (fp128): alpha = -3.725928887157494780816695052569490589e+00; beta = -9.314822217893736952041737631423726472e-01; diff = 1.155557966632341511833586765550956391e-33; -593/1000
Check failed for (fp128): alpha = -3.719645701850315194339769765802931688e+00; beta = -9.299114254625787985849424414507329220e-01; diff = 1.540743955509788682444782354067941855e-33; -592/1000
Check failed for (fp128): alpha = -3.713362516543135607862844479036372017e+00; beta = -9.283406291357839019657111197590930042e-01; diff = 1.540743955509788682444782354067941855e-33; -591/1000
Check failed for (fp128): alpha = -3.707079331235956021385919192269813116e+00; beta = -9.267698328089890053464797980674532790e-01; diff = 3.851859888774471706111955885169854637e-34; -590/1000
Check failed for (fp128): alpha = -3.700796145928776434908993905503254215e+00; beta = -9.251990364821941087272484763758135538e-01; diff = 3.851859888774471706111955885169854637e-34; -589/1000
Check failed for (fp128): alpha = -3.688229775314417261955143331970136414e+00; beta = -9.220574438286043154887858329925341034e-01; diff = 3.851859888774471706111955885169854637e-34; -587/1000
Check failed for (fp128): alpha = -3.681946590007237675478218045203577513e+00; beta = -9.204866475018094188695545113008943782e-01; diff = 7.703719777548943412223911770339709274e-34; -586/1000
Check failed for (fp128): alpha = -3.675663404700058089001292758437018227e+00; beta = -9.189158511750145222503231896092545567e-01; diff = 7.703719777548943412223911770339709274e-34; -585/1000
Check failed for (fp128): alpha = -3.669380219392878502524367471670459326e+00; beta = -9.173450548482196256310918679176148315e-01; diff = 3.851859888774471706111955885169854637e-34; -584/1000
Check failed for (fp128): alpha = -3.663097034085698916047442184903900425e+00; beta = -9.157742585214247290118605462259751063e-01; diff = 7.703719777548943412223911770339709274e-34; -583/1000
Check failed for (fp128): alpha = -3.656813848778519329570516898137341524e+00; beta = -9.142034621946298323926292245343353811e-01; diff = 3.851859888774471706111955885169854637e-34; -582/1000
Check failed for (fp128): alpha = -3.644247478164160156616666324604222952e+00; beta = -9.110618695410400391541665811510557381e-01; diff = 3.851859888774471706111955885169854637e-34; -580/1000
Check failed for (fp128): alpha = -3.631681107549800983662815751071105151e+00; beta = -9.079202768874502459157039377677762877e-01; diff = 3.851859888774471706111955885169854637e-34; -578/1000
Check failed for (fp128): alpha = -3.625397922242621397185890464304546250e+00; beta = -9.063494805606553492964726160761365625e-01; diff = 3.851859888774471706111955885169854637e-34; -577/1000
Check failed for (fp128): alpha = -3.619114736935441810708965177537987349e+00; beta = -9.047786842338604526772412943844968373e-01; diff = 3.851859888774471706111955885169854637e-34; -576/1000
Check failed for (fp128): alpha = -3.612831551628262224232039890771428063e+00; beta = -9.032078879070655560580099726928570158e-01; diff = 3.851859888774471706111955885169854637e-34; -575/1000
Check failed for (fp128): alpha = -3.606548366321082637755114604004869162e+00; beta = -9.016370915802706594387786510012172906e-01; diff = 3.851859888774471706111955885169854637e-34; -574/1000
Check failed for (fp128): alpha = -3.600265181013903051278189317238310261e+00; beta = -9.000662952534757628195473293095775653e-01; diff = 3.851859888774471706111955885169854637e-34; -573/1000
Check failed for (fp128): alpha = -3.581415625092364291847413456938632789e+00; beta = -8.953539062730910729618533642346581971e-01; diff = 3.851859888774471706111955885169854637e-34; -570/1000
Check failed for (fp128): alpha = -3.575132439785184705370488170172073888e+00; beta = -8.937831099462961763426220425430184719e-01; diff = 3.851859888774471706111955885169854637e-34; -569/1000
