Check failed for (fp32): alpha = -4.24115; diff1 = 1.192093e-07; diff2 = 3.925224; -675/1000
Check failed for (fp32): alpha = -4.234867; diff1 = 1.192093e-07; diff2 = 3.864995; -674/1000
Check failed for (fp32): alpha = -4.228584; diff1 = 1.192093e-07; diff2 = 3.806211; -673/1000
Check failed for (fp32): alpha = -4.209734; diff1 = 1.192093e-07; diff2 = 3.637989; -670/1000
Check failed for (fp32): alpha = -4.203451; diff1 = 1.192093e-07; diff2 = 3.584454; -669/1000
Check failed for (fp32): alpha = -4.197168; diff1 = 1.192093e-07; diff2 = 3.532111; -668/1000
Check failed for (fp32): alpha = -4.190885; diff1 = 1.192093e-07; diff2 = 3.480917; -667/1000
Check failed for (fp32): alpha = -4.184602; diff1 = 1.192093e-07; diff2 = 3.430835; -666/1000
Check failed for (fp32): alpha = -4.172035; diff1 = 1.192093e-07; diff2 = 3.33383; -664/1000
Check failed for (fp32): alpha = -4.165752; diff1 = 1.192093e-07; diff2 = 3.286838; -663/1000
Check failed for (fp32): alpha = -4.159469; diff1 = 1.192093e-07; diff2 = 3.240806; -662/1000
Check failed for (fp32): alpha = -4.146903; diff1 = 1.192093e-07; diff2 = 3.151498; -660/1000
Check failed for (fp32): alpha = -4.140619; diff1 = 1.192093e-07; diff2 = 3.108157; -659/1000
Check failed for (fp32): alpha = -4.128053; diff1 = 1.192093e-07; diff2 = 3.023963; -657/1000
Check failed for (fp32): alpha = -4.12177; diff1 = 1.192093e-07; diff2 = 2.983059; -656/1000
Check failed for (fp32): alpha = -4.115486; diff1 = 1.192093e-07; diff2 = 2.942909; -655/1000
Check failed for (fp32): alpha = -4.090354; diff1 = 1.192093e-07; diff2 = 2.789456; -651/1000
Check failed for (fp32): alpha = -4.08407; diff1 = 1.192093e-07; diff2 = 2.752762; -650/1000
Check failed for (fp32): alpha = -4.058938; diff1 = 1.192093e-07; diff2 = 2.612112; -646/1000
Check failed for (fp32): alpha = -4.052655; diff1 = 1.192093e-07; diff2 = 2.578386; -645/1000
Check failed for (fp32): alpha = -4.033805; diff1 = 1.192093e-07; diff2 = 2.480401; -642/1000
Check failed for (fp32): alpha = -3.996106; diff1 = 1.192093e-07; diff2 = 2.297496; -636/1000
Check failed for (fp32): alpha = -3.98354; diff1 = 1.192093e-07; diff2 = 2.240024; -634/1000
Check failed for (fp32): alpha = -3.958407; diff1 = 1.192093e-07; diff2 = 2.129785; -630/1000
Check failed for (fp32): alpha = -3.952124; diff1 = 1.192093e-07; diff2 = 2.103146; -629/1000
Check failed for (fp32): alpha = -3.939557; diff1 = 1.192093e-07; diff2 = 2.050908; -627/1000
Check failed for (fp32): alpha = -3.914425; diff1 = 1.192093e-07; diff2 = 1.950356; -623/1000
Check failed for (fp32): alpha = -3.908141; diff1 = 1.192093e-07; diff2 = 1.925987; -622/1000
Check failed for (fp32): alpha = -3.901858; diff1 = 5.960464e-08; diff2 = 1.901914; -621/1000
Check failed for (fp32): alpha = -3.895575; diff1 = 5.960464e-08; diff2 = 1.878126; -620/1000
Check failed for (fp32): alpha = -3.889292; diff1 = 5.960464e-08; diff2 = 1.854617; -619/1000
Check failed for (fp32): alpha = -3.883008; diff1 = 5.960464e-08; diff2 = 1.831378; -618/1000
Check failed for (fp32): alpha = -3.870442; diff1 = 5.960464e-08; diff2 = 1.785696; -616/1000
Check failed for (fp32): alpha = -3.851593; diff1 = 5.960464e-08; diff2 = 1.719057; -613/1000
Check failed for (fp32): alpha = -3.832743; diff1 = 5.960464e-08; diff2 = 1.654544; -610/1000
Check failed for (fp32): alpha = -3.820177; diff1 = 5.960464e-08; diff2 = 1.612644; -608/1000
Check failed for (fp32): alpha = -3.813894; diff1 = 5.960464e-08; diff2 = 1.592012; -607/1000
Check failed for (fp32): alpha = -3.807611; diff1 = 5.960464e-08; diff2 = 1.571586; -606/1000
Check failed for (fp32): alpha = -3.795044; diff1 = 5.960464e-08; diff2 = 1.531329; -604/1000
Check failed for (fp32): alpha = -3.788761; diff1 = 1.192093e-07; diff2 = 1.511491; -603/1000
Check failed for (fp32): alpha = -3.769912; diff1 = 1.192093e-07; diff2 = 1.453086; -600/1000
Check failed for (fp32): alpha = -3.763628; diff1 = 1.192093e-07; diff2 = 1.433972; -599/1000
