Check failed for (fp80): alpha = -4.25371645296058004506; beta = -1.06342911324014501126; diff = 8.13151629364128325506e-20; -677/1000
Check failed for (fp80): alpha = -4.24743326765340045844; beta = -1.06185831691335011461; diff = 1.25360876193636450182e-19; -676/1000
Check failed for (fp80): alpha = -4.20973415581032293963; beta = -1.05243353895258073491; diff = 1.01643953670516040688e-19; -670/1000
Check failed for (fp80): alpha = -4.20345097050314335302; beta = -1.05086274262578583825; diff = 1.06726151354041842723e-19; -669/1000
Check failed for (fp80): alpha = -4.1971677851959637664; beta = -1.0492919462989909416; diff = 1.1773757966834774713e-19; -668/1000
Check failed for (fp80): alpha = -4.17831822927442500743; beta = -1.04457955731860625186; diff = 1.00796920723261740349e-19; -665/1000
Check failed for (fp80): alpha = -4.17203504396724542081; beta = -1.0430087609918113552; diff = 1.01643953670516040688e-19; -664/1000
Check failed for (fp80): alpha = -4.1657518586600658342; beta = -1.04143796466501645855; diff = 1.05879118406787542384e-19; -663/1000
Check failed for (fp80): alpha = -4.12805274681698831539; beta = -1.03201318670424707885; diff = 1.35525271560688054251e-19; -657/1000
Check failed for (fp80): alpha = -4.11548637620262914216; beta = -1.02887159405065728554; diff = 1.08420217248550443401e-19; -655/1000
Check failed for (fp80): alpha = -4.09663682028109038319; beta = -1.0241592050702725958; diff = 8.13151629364128325506e-20; -652/1000
Check failed for (fp80): alpha = -4.08407044966673120996; beta = -1.02101761241668280249; diff = 1.15196480826584846113e-19; -650/1000
Check failed for (fp80): alpha = -4.06522089374519245098; beta = -1.01630522343629811275; diff = 6.77626357803440271255e-20; -647/1000
Check failed for (fp80): alpha = -4.05893770843801286437; beta = -1.01473442710950321609; diff = 5.42101086242752217004e-20; -646/1000
Check failed for (fp80): alpha = -4.05265452313083327776; beta = -1.01316363078270831944; diff = 8.80914265144472352631e-20; -645/1000
Check failed for (fp80): alpha = -4.04637133782365369114; beta = -1.01159283445591342279; diff = 9.48676900924816379757e-20; -644/1000
Check failed for (fp80): alpha = -4.04008815251647410453; beta = -1.01002203812911852613; diff = 6.09863722023096244129e-20; -643/1000
Check failed for (fp80): alpha = -4.03380496720929451792; beta = -1.00845124180232362948; diff = 1.01643953670516040688e-19; -642/1000
Check failed for (fp80): alpha = -4.01495541128775575894; beta = -1.00373885282193893974; diff = 1.01643953670516040688e-19; -639/1000
Check failed for (fp80): alpha = -4.00867222598057617233; beta = -1.00216805649514404308; diff = 1.08420217248550443401e-19; -638/1000
Check failed for (fp80): alpha = -4.00238904067339658572; beta = -1.00059726016834914643; diff = 1.08420217248550443401e-19; -637/1000
Check failed for (fp80): alpha = -3.98353948475185782653; beta = -0.995884871187964456631; diff = 6.77626357803440271255e-20; -634/1000
Check failed for (fp80): alpha = -3.96468992883031906712; beta = -0.99117248220757976678; diff = 5.42101086242752217004e-20; -631/1000
Check failed for (fp80): alpha = -3.9584067435231394805; beta = -0.989601685880784870126; diff = 6.77626357803440271255e-20; -630/1000
Check failed for (fp80): alpha = -3.95212355821595989389; beta = -0.988030889553989973473; diff = 5.42101086242752217004e-20; -629/1000
