Check failed for (fp64): alpha = -6.28318530717959; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp64): alpha = -3.9709731141375; diff1 = 2.22044604925031e-16; diff2 = 1.83137843172232; -632/1000
Check failed for (fp64): alpha = -3.96468992883032; diff1 = 1.11022302462516e-16; diff2 = 1.85461553666201; -631/1000
Check failed for (fp64): alpha = -3.95212355821596; diff1 = 3.33066907387547e-16; diff2 = 1.90191356300214; -629/1000
Check failed for (fp64): alpha = -3.9395571876016; diff1 = 1.11022302462516e-16; diff2 = 1.9503557523613; -627/1000
Check failed for (fp64): alpha = -3.93327400229442; diff1 = 2.22044604925031e-16; diff2 = 1.97502385981463; -626/1000
Check failed for (fp64): alpha = -3.92070763168006; diff1 = 2.22044604925031e-16; diff2 = 2.02529198830815; -624/1000
Check failed for (fp64): alpha = -3.89557489045134; diff1 = 2.22044604925031e-16; diff2 = 2.12978368064958; -620/1000
Check failed for (fp64): alpha = -3.88929170514416; diff1 = 2.22044604925031e-16; diff2 = 2.15678124167951; -619/1000
Check failed for (fp64): alpha = -3.88300851983698; diff1 = 2.22044604925031e-16; diff2 = 2.18414715970975; -618/1000
Check failed for (fp64): alpha = -3.87044214922263; diff1 = 2.22044604925031e-16; diff2 = 2.24002358485848; -616/1000
Check failed for (fp64): alpha = -3.85159259330109; diff1 = 2.22044604925031e-16; diff2 = 2.32685694480957; -613/1000
Check failed for (fp64): alpha = -3.80761029615083; diff1 = 2.22044604925031e-16; diff2 = 2.54520093392691; -606/1000
Check failed for (fp64): alpha = -3.79504392553647; diff1 = 2.22044604925031e-16; diff2 = 2.61210997924863; -604/1000
Check failed for (fp64): alpha = -3.76991118430775; diff1 = 2.22044604925031e-16; diff2 = 2.75276384094235; -600/1000
Check failed for (fp64): alpha = -3.75734481369339; diff1 = 4.44089209850063e-16; diff2 = 2.82679304572451; -598/1000
Check failed for (fp64): alpha = -3.73221207246467; diff1 = 2.22044604925031e-16; diff2 = 2.98305716610033; -594/1000
Check failed for (fp64): alpha = -3.71336251654314; diff1 = 4.44089209850063e-16; diff2 = 3.10815581163312; -591/1000
Check failed for (fp64): alpha = -3.6945129606216; diff1 = 2.22044604925031e-16; diff2 = 3.24080575582034; -588/1000
Check failed for (fp64): alpha = -3.68822977531442; diff1 = 2.22044604925031e-16; diff2 = 3.28683697774443; -587/1000
Check failed for (fp64): alpha = -3.68194659000724; diff1 = 4.44089209850063e-16; diff2 = 3.33382875880555; -586/1000
Check failed for (fp64): alpha = -3.67566340470006; diff1 = 2.22044604925031e-16; diff2 = 3.38181531157003; -585/1000
Check failed for (fp64): alpha = -3.66938021939288; diff1 = 2.22044604925031e-16; diff2 = 3.43083247311413; -584/1000
Check failed for (fp64): alpha = -3.65681384877852; diff1 = 2.22044604925031e-16; diff2 = 3.53211068797261; -582/1000
Check failed for (fp64): alpha = -3.65053066347134; diff1 = 4.44089209850063e-16; diff2 = 3.58445245554308; -581/1000
Check failed for (fp64): alpha = -3.64424747816416; diff1 = 4.44089209850063e-16; diff2 = 3.63798649456213; -580/1000
Check failed for (fp64): alpha = -3.63796429285698; diff1 = 2.22044604925031e-16; diff2 = 3.69275838611078; -579/1000
Check failed for (fp64): alpha = -3.62539792224262; diff1 = 2.22044604925031e-16; diff2 = 3.80620986622779; -577/1000
Check failed for (fp64): alpha = -3.61911473693544; diff1 = 4.44089209850063e-16; diff2 = 3.86499289856837; -576/1000
Check failed for (fp64): alpha = -3.60654836632108; diff1 = 4.44089209850063e-16; diff2 = 3.98695308868023; -574/1000
Check failed for (fp64): alpha = -3.6002651810139; diff1 = 4.44089209850063e-16; diff2 = 4.05025123838502; -573/1000
Check failed for (fp64): alpha = -3.59398199570672; diff1 = 4.44089209850063e-16; diff2 = 4.11518101237748; -572/1000
Check failed for (fp64): alpha = -3.58769881039954; diff1 = 4.44089209850063e-16; diff2 = 4.18181165103102; -571/1000
Check failed for (fp64): alpha = -3.58141562509236; diff1 = 4.44089209850063e-16; diff2 = 4.25021634631441; -570/1000
Check failed for (fp64): alpha = -3.57513243978518; diff1 = 4.44089209850063e-16; diff2 = 4.32047252817653; -569/1000
Check failed for (fp64): alpha = -3.56256606917082; diff1 = 4.44089209850063e-16; diff2 = 4.46687215916175; -567/1000
Check failed for (fp64): alpha = -3.55628288386365; diff1 = 4.44089209850063e-16; diff2 = 4.54319460546598; -566/1000
Check failed for (fp64): alpha = -3.54999969855647; diff1 = 8.88178419700125e-16; diff2 = 4.62172730776483; -565/1000
Check failed for (fp64): alpha = -3.54371651324929; diff1 = 8.88178419700125e-16; diff2 = 4.70257416551561; -564/1000
Check failed for (fp64): alpha = -3.53743332794211; diff1 = 4.44089209850063e-16; diff2 = 4.78584566968396; -563/1000
Check failed for (fp64): alpha = -3.53115014263493; diff1 = 4.44089209850063e-16; diff2 = 4.87165943435322; -562/1000
Check failed for (fp64): alpha = -3.52486695732775; diff1 = 8.88178419700125e-16; diff2 = 4.96014078062266; -561/1000
Check failed for (fp64): alpha = -3.51858377202057; diff1 = 8.88178419700125e-16; diff2 = 5.0514233788946; -560/1000
Check failed for (fp64): alpha = -3.50601740140621; diff1 = 1.33226762955019e-15; diff2 = 5.2429730783935; -558/1000
Check failed for (fp64): alpha = -3.49973421609903; diff1 = 4.44089209850063e-16; diff2 = 5.34355601036264; -557/1000
Check failed for (fp64): alpha = -3.49345103079185; diff1 = 1.77635683940025e-15; diff2 = 5.44757367426649; -556/1000
Check failed for (fp64): alpha = -3.48716784548467; diff1 = 8.88178419700125e-16; diff2 = 5.55521370782995; -555/1000
Check failed for (fp64): alpha = -3.48088466017749; diff1 = 1.77635683940025e-15; diff2 = 5.66667764205016; -554/1000
Check failed for (fp64): alpha = -3.47460147487031; diff1 = 8.88178419700125e-16; diff2 = 5.78218221191762; -553/1000
Check failed for (fp64): alpha = -3.46831828956313; diff1 = 2.22044604925031e-15; diff2 = 5.90196081837346; -552/1000
