Check failed for (fp80): alpha = -4.80035357468520406873; diff1 = 8.67361737988403547206e-19; diff2 = 22.6777471054205165338; -764/1000
Check failed for (fp80): alpha = -4.79407038937802448212; diff1 = 8.67361737988403547206e-19; diff2 = 24.4308973515036052179; -763/1000
Check failed for (fp80): alpha = -4.78150401876366530889; diff1 = 8.67361737988403547206e-19; diff2 = 28.8911710078649740518; -761/1000
Check failed for (fp80): alpha = -4.77522083345648572228; diff1 = 8.67361737988403547206e-19; diff2 = 31.7890896877306069826; -760/1000
Check failed for (fp80): alpha = -4.76265446284212654949; diff1 = 1.73472347597680709441e-18; diff2 = 39.7552198054565440605; -758/1000
Check failed for (fp80): alpha = -4.75008809222776737669; diff1 = 1.73472347597680709441e-18; diff2 = 53.0265125744653144299; -756/1000
Check failed for (fp80): alpha = -4.74380490692058779008; diff1 = 1.73472347597680709441e-18; diff2 = 63.6410319075479160647; -755/1000
Check failed for (fp80): alpha = -4.73123853630622861728; diff1 = 3.46944695195361418882e-18; diff2 = 106.090728726312201496; -753/1000
Check failed for (fp80): alpha = -4.71867216569186944449; diff1 = 1.38777878078144567553e-17; diff2 = 318.305697382561373243; -751/1000
Check failed for (fp80): alpha = -4.69353942446315109847; diff1 = 3.46944695195361418882e-18; diff2 = 106.090728726312203634; -747/1000
Check failed for (fp80): alpha = -4.68097305384879192524; diff1 = 1.73472347597680709441e-18; diff2 = 63.6410319075479159537; -745/1000
Check failed for (fp80): alpha = -4.67468986854161233863; diff1 = 1.73472347597680709441e-18; diff2 = 53.0265125744653143536; -744/1000
Check failed for (fp80): alpha = -4.66840668323443275245; diff1 = 1.73472347597680709441e-18; diff2 = 45.4435155698806747399; -743/1000
Check failed for (fp80): alpha = -4.65584031262007357922; diff1 = 1.73472347597680709441e-18; diff2 = 35.3300579804139228413; -741/1000
Check failed for (fp80): alpha = -4.64955712731289399304; diff1 = 8.67361737988403547206e-19; diff2 = 31.7890896877306069548; -740/1000
Check failed for (fp80): alpha = -4.64327394200571440643; diff1 = 8.67361737988403547206e-19; diff2 = 28.8911710078649740276; -739/1000
Check failed for (fp80): alpha = -4.61185801546981647423; diff1 = 8.67361737988403547206e-19; diff2 = 19.8273020435392884515; -734/1000
Check failed for (fp80): alpha = -4.58672527424109812821; diff1 = 4.33680868994201773603e-19; diff2 = 15.8316301766116536969; -730/1000
Check failed for (fp80): alpha = -4.56159253301237978219; diff1 = 4.33680868994201773603e-19; diff2 = 13.1622282265533077604; -726/1000
Check failed for (fp80): alpha = -4.55530934770520019601; diff1 = 4.33680868994201773603e-19; diff2 = 12.6275030293500862173; -725/1000
Check failed for (fp80): alpha = -4.54902616239802060939; diff1 = 4.33680868994201773603e-19; diff2 = 12.1335851252147647848; -724/1000
Check failed for (fp80): alpha = -4.52389342116930226381; diff1 = 4.33680868994201773603e-19; diff2 = 10.4843671622263534988; -720/1000
