Check failed for (fp32): x = -2.444159; diff = 1.430511e-06; -389/1000
Check failed for (fp32): x = -2.437876; diff = 9.536743e-07; -388/1000
Check failed for (fp32): x = -2.431593; diff = 9.536743e-07; -387/1000
Check failed for (fp32): x = -2.42531; diff = 2.861023e-06; -386/1000
Check failed for (fp32): x = -2.419026; diff = 3.33786e-06; -385/1000
Check failed for (fp32): x = -2.40646; diff = 4.768372e-06; -383/1000
Check failed for (fp32): x = -2.400177; diff = 3.814697e-06; -382/1000
Check failed for (fp32): x = -2.393894; diff = 2.861023e-06; -381/1000
Check failed for (fp32): x = -2.38761; diff = 9.536743e-06; -380/1000
Check failed for (fp32): x = -2.381327; diff = 3.814697e-06; -379/1000
Check failed for (fp32): x = -2.375044; diff = 2.098083e-05; -378/1000
Check failed for (fp32): x = -2.368761; diff = 4.959106e-05; -377/1000
Check failed for (fp32): x = -2.362478; diff = 0.0001144409; -376/1000
Check failed for (fp32): x = -2.356194; diff = inf; -375/1000
Check failed for (fp32): x = -2.349911; diff = 0.0002212524; -374/1000
Check failed for (fp32): x = -2.343628; diff = 5.722046e-05; -373/1000
Check failed for (fp32): x = -2.337345; diff = 2.479553e-05; -372/1000
Check failed for (fp32): x = -2.331062; diff = 5.722046e-06; -371/1000
Check failed for (fp32): x = -2.324779; diff = 1.049042e-05; -370/1000
Check failed for (fp32): x = -2.318495; diff = 3.814697e-06; -369/1000
Check failed for (fp32): x = -2.312212; diff = 6.67572e-06; -368/1000
Check failed for (fp32): x = -2.305929; diff = 9.536743e-07; -367/1000
Check failed for (fp32): x = -2.299646; diff = 2.861023e-06; -366/1000
Check failed for (fp32): x = -2.293363; diff = 9.536743e-07; -365/1000
Check failed for (fp32): x = -2.28708; diff = 4.768372e-07; -364/1000
Check failed for (fp32): x = -2.26823; diff = 9.536743e-07; -361/1000
Check failed for (fp32): x = -2.255664; diff = 9.536743e-07; -359/1000
Check failed for (fp32): x = -2.24938; diff = 9.536743e-07; -358/1000
Check failed for (fp32): x = -2.243097; diff = 4.768372e-07; -357/1000
Check failed for (fp32): x = -2.236814; diff = 4.768372e-07; -356/1000
Check failed for (fp32): x = -2.230531; diff = 4.768372e-07; -355/1000
Check failed for (fp32): x = -2.224248; diff = 2.384186e-07; -354/1000
Check failed for (fp32): x = -2.217964; diff = 2.384186e-07; -353/1000
Check failed for (fp32): x = -2.205398; diff = 4.768372e-07; -351/1000
Check failed for (fp32): x = -2.199115; diff = 2.384186e-07; -350/1000
Check failed for (fp32): x = -2.186548; diff = 2.384186e-07; -348/1000
Check failed for (fp32): x = -2.180265; diff = 2.384186e-07; -347/1000
Check failed for (fp32): x = -2.173982; diff = 4.768372e-07; -346/1000
Check failed for (fp32): x = -2.167699; diff = 2.384186e-07; -345/1000
Check failed for (fp32): x = -2.148849; diff = 2.384186e-07; -342/1000
Check failed for (fp32): x = -2.136283; diff = 2.384186e-07; -340/1000
Check failed for (fp32): x = -2.13; diff = 2.384186e-07; -339/1000
Check failed for (fp32): x = -2.123717; diff = 1.192093e-07; -338/1000
Check failed for (fp32): x = -2.11115; diff = 1.192093e-07; -336/1000
Check failed for (fp32): x = -2.098584; diff = 1.192093e-07; -334/1000
Check failed for (fp32): x = -2.086018; diff = 1.192093e-07; -332/1000
Check failed for (fp32): x = -2.073451; diff = 2.384186e-07; -330/1000
Check failed for (fp32): x = -2.060885; diff = 1.192093e-07; -328/1000
Check failed for (fp32): x = -2.042035; diff = 1.192093e-07; -325/1000
Check failed for (fp32): x = -2.035752; diff = 1.192093e-07; -324/1000
Check failed for (fp32): x = -2.010619; diff = 1.192093e-07; -320/1000
Check failed for (fp32): x = -1.998053; diff = 1.192093e-07; -318/1000
Check failed for (fp32): x = -1.99177; diff = 1.192093e-07; -317/1000
Check failed for (fp32): x = -1.979203; diff = 1.192093e-07; -315/1000
Check failed for (fp32): x = -1.947788; diff = 5.960464e-08; -310/1000
Check failed for (fp32): x = -1.941504; diff = 5.960464e-08; -309/1000
Check failed for (fp32): x = -1.935221; diff = 5.960464e-08; -308/1000
Check failed for (fp32): x = -1.928938; diff = 5.960464e-08; -307/1000
Check failed for (fp32): x = -1.922655; diff = 5.960464e-08; -306/1000
Check failed for (fp32): x = -1.903805; diff = 5.960464e-08; -303/1000
Check failed for (fp32): x = -1.878672; diff = 5.960464e-08; -299/1000
Check failed for (fp32): x = -1.872389; diff = 5.960464e-08; -298/1000
Check failed for (fp32): x = -1.859823; diff = 5.960464e-08; -296/1000
Check failed for (fp32): x = -1.85354; diff = 5.960464e-08; -295/1000
Check failed for (fp32): x = -1.840973; diff = 5.960464e-08; -293/1000
Check failed for (fp32): x = -1.822124; diff = 5.960464e-08; -290/1000
Check failed for (fp32): x = -1.815841; diff = 5.960464e-08; -289/1000
Check failed for (fp32): x = -1.338318; diff = 5.960464e-08; -213/1000
Check failed for (fp32): x = -1.306903; diff = 5.960464e-08; -208/1000
Check failed for (fp32): x = -1.275487; diff = 5.960464e-08; -203/1000
Check failed for (fp32): x = -1.250354; diff = 5.960464e-08; -199/1000
Check failed for (fp32): x = -1.237787; diff = 5.960464e-08; -197/1000
Check failed for (fp32): x = -1.231504; diff = 5.960464e-08; -196/1000
Check failed for (fp32): x = -1.218938; diff = 1.192093e-07; -194/1000
Check failed for (fp32): x = -1.212655; diff = 5.960464e-08; -193/1000
Check failed for (fp32): x = -1.193805; diff = 5.960464e-08; -190/1000
Check failed for (fp32): x = -1.187522; diff = 5.960464e-08; -189/1000
Check failed for (fp32): x = -1.168673; diff = 1.192093e-07; -186/1000
Check failed for (fp32): x = -1.14354; diff = 1.192093e-07; -182/1000
Check failed for (fp32): x = -1.137257; diff = 1.192093e-07; -181/1000
Check failed for (fp32): x = -1.112124; diff = 1.192093e-07; -177/1000
Check failed for (fp32): x = -1.099557; diff = 1.192093e-07; -175/1000
Check failed for (fp32): x = -1.093274; diff = 1.192093e-07; -174/1000
Check failed for (fp32): x = -1.086991; diff = 1.192093e-07; -173/1000
Check failed for (fp32): x = -1.074425; diff = 2.384186e-07; -171/1000
Check failed for (fp32): x = -1.061858; diff = 1.192093e-07; -169/1000
Check failed for (fp32): x = -1.049292; diff = 1.192093e-07; -167/1000
Check failed for (fp32): x = -1.043009; diff = 1.192093e-07; -166/1000
Check failed for (fp32): x = -1.036726; diff = 1.192093e-07; -165/1000
Check failed for (fp32): x = -1.017876; diff = 2.384186e-07; -162/1000
Check failed for (fp32): x = -0.9990265; diff = 2.384186e-07; -159/1000
Check failed for (fp32): x = -0.9801769; diff = 2.384186e-07; -156/1000
Check failed for (fp32): x = -0.9676105; diff = 2.384186e-07; -154/1000
Check failed for (fp32): x = -0.9550442; diff = 2.384186e-07; -152/1000
Check failed for (fp32): x = -0.948761; diff = 2.384186e-07; -151/1000
Check failed for (fp32): x = -0.9424779; diff = 2.384186e-07; -150/1000
Check failed for (fp32): x = -0.9361947; diff = 4.768372e-07; -149/1000
Check failed for (fp32): x = -0.9299114; diff = 4.768372e-07; -148/1000
Check failed for (fp32): x = -0.9236283; diff = 2.384186e-07; -147/1000
Check failed for (fp32): x = -0.917345; diff = 2.384186e-07; -146/1000
Check failed for (fp32): x = -0.9110619; diff = 7.152557e-07; -145/1000
Check failed for (fp32): x = -0.9047787; diff = 4.768372e-07; -144/1000
Check failed for (fp32): x = -0.8922124; diff = 4.768372e-07; -142/1000
Check failed for (fp32): x = -0.8859292; diff = 9.536743e-07; -141/1000
Check failed for (fp32): x = -0.8670796; diff = 4.768372e-07; -138/1000
Check failed for (fp32): x = -0.8607964; diff = 2.384186e-06; -137/1000
Check failed for (fp32): x = -0.8482301; diff = 4.768372e-07; -135/1000
Check failed for (fp32): x = -0.8419469; diff = 1.907349e-06; -134/1000
Check failed for (fp32): x = -0.8356637; diff = 9.536743e-07; -133/1000
Check failed for (fp32): x = -0.8230973; diff = 7.629395e-06; -131/1000
Check failed for (fp32): x = -0.8168141; diff = 5.722046e-06; -130/1000
