Check failed for (fp128): x = -1.639911365173872070477499846071900463e+00; diff = 7.703719777548943412223911770339709274e-34; -261/1000
Check failed for (fp128): x = -1.633628179866692484000574559305341563e+00; diff = 7.703719777548943412223911770339709274e-34; -260/1000
Check failed for (fp128): x = -1.627344994559512897523649272538782277e+00; diff = 1.540743955509788682444782354067941855e-33; -259/1000
Check failed for (fp128): x = -1.614778623945153724569798699005664475e+00; diff = 1.540743955509788682444782354067941855e-33; -257/1000
Check failed for (fp128): x = -1.602212253330794551615948125472546481e+00; diff = 1.540743955509788682444782354067941855e-33; -255/1000
Check failed for (fp128): x = -1.577079512102076205708246978406310300e+00; diff = 1.232595164407830945955825883254353484e-32; -251/1000
Check failed for (fp128): x = -1.558229956180537446277471118106633404e+00; diff = 6.162975822039154729779129416271767419e-33; -248/1000
Check failed for (fp128): x = -1.551946770873357859800545831340074504e+00; diff = 3.081487911019577364889564708135883710e-33; -247/1000
Check failed for (fp128): x = -1.514247659030280340938994110740720328e+00; diff = 1.540743955509788682444782354067941855e-33; -241/1000
Check failed for (fp128): x = -1.501681288415921167985143537207602334e+00; diff = 7.703719777548943412223911770339709274e-34; -239/1000
Check failed for (fp128): x = -1.495398103108741581508218250441043433e+00; diff = 7.703719777548943412223911770339709274e-34; -238/1000
Check failed for (fp128): x = -1.489114917801561995031292963674484340e+00; diff = 7.703719777548943412223911770339709274e-34; -237/1000
Check failed for (fp128): x = -1.482831732494382408554367676907925246e+00; diff = 7.703719777548943412223911770339709274e-34; -236/1000
Check failed for (fp128): x = -1.451415805958484476169741243075130165e+00; diff = 7.703719777548943412223911770339709274e-34; -231/1000
Check failed for (fp128): x = -1.432566250036945716738965382775453269e+00; diff = 3.851859888774471706111955885169854637e-34; -228/1000
Check failed for (fp128): x = -1.426283064729766130262040096008894176e+00; diff = 7.703719777548943412223911770339709274e-34; -227/1000
Check failed for (fp128): x = -1.413716694115406957308189522475776374e+00; diff = 3.851859888774471706111955885169854637e-34; -225/1000
Check failed for (fp128): x = -1.401150323501047784354338948942658188e+00; diff = 3.851859888774471706111955885169854637e-34; -223/1000
Check failed for (fp128): x = -1.369734396965149851969712515109863106e+00; diff = 3.851859888774471706111955885169854637e-34; -218/1000
Check failed for (fp128): x = -1.350884841043611092538936654810186211e+00; diff = 3.851859888774471706111955885169854637e-34; -215/1000
Check failed for (fp128): x = -1.344601655736431506062011368043627117e+00; diff = 3.851859888774471706111955885169854637e-34; -214/1000
Check failed for (fp128): x = -1.338318470429251919585086081277068216e+00; diff = 1.925929944387235853055977942584927319e-34; -213/1000
Check failed for (fp128): x = -1.332035285122072333108160794510509123e+00; diff = 1.925929944387235853055977942584927319e-34; -212/1000
Check failed for (fp128): x = -1.319468914507713160154310220977391129e+00; diff = 1.925929944387235853055977942584927319e-34; -210/1000
