Check failed for (fp64): x = -2.05460159544772; diff = 1.11022302462516e-16; -327/1000
Check failed for (fp64): x = -2.03575203952619; diff = 1.11022302462516e-16; -324/1000
Check failed for (fp64): x = -1.98548655706875; diff = 1.11022302462516e-16; -316/1000
Check failed for (fp64): x = -1.97920337176157; diff = 1.11022302462516e-16; -315/1000
Check failed for (fp64): x = -1.94778744522567; diff = 1.11022302462516e-16; -310/1000
Check failed for (fp64): x = -1.93522107461131; diff = 1.11022302462516e-16; -308/1000
Check failed for (fp64): x = -1.91008833338259; diff = 1.11022302462516e-16; -304/1000
Check failed for (fp64): x = -1.90380514807541; diff = 1.11022302462516e-16; -303/1000
Check failed for (fp64): x = -1.88495559215388; diff = 1.11022302462516e-16; -300/1000
Check failed for (fp64): x = -1.84097329500362; diff = 1.11022302462516e-16; -293/1000
Check failed for (fp64): x = -1.82840692438926; diff = 1.11022302462516e-16; -291/1000
Check failed for (fp64): x = -1.82212373908208; diff = 1.11022302462516e-16; -290/1000
Check failed for (fp64): x = -1.77814144193182; diff = 1.11022302462516e-16; -283/1000
Check failed for (fp64): x = -1.77185825662464; diff = 1.11022302462516e-16; -282/1000
Check failed for (fp64): x = -1.74672551539593; diff = 1.38777878078145e-16; -278/1000
Check failed for (fp64): x = -1.73415914478157; diff = 1.66533453693773e-16; -276/1000
Check failed for (fp64): x = -1.72787595947439; diff = 1.66533453693773e-16; -275/1000
Check failed for (fp64): x = -1.72159277416721; diff = 1.38777878078145e-16; -274/1000
Check failed for (fp64): x = -1.70902640355285; diff = 1.38777878078145e-16; -272/1000
Check failed for (fp64): x = -1.70274321824567; diff = 1.11022302462516e-16; -271/1000
Check failed for (fp64): x = -1.69017684763131; diff = 2.08166817117217e-16; -269/1000
Check failed for (fp64): x = -1.67132729170977; diff = 2.08166817117217e-16; -266/1000
Check failed for (fp64): x = -1.66504410640259; diff = 2.4980018054066e-16; -265/1000
Check failed for (fp64): x = -1.65876092109541; diff = 2.35922392732846e-16; -264/1000
Check failed for (fp64): x = -1.65247773578823; diff = 2.77555756156289e-16; -263/1000
Check failed for (fp64): x = -1.64619455048105; diff = 1.66533453693773e-16; -262/1000
Check failed for (fp64): x = -1.63362817986669; diff = 4.02455846426619e-16; -260/1000
Check failed for (fp64): x = -1.62734499455951; diff = 1.80411241501588e-16; -259/1000
Check failed for (fp64): x = -1.61477862394515; diff = 1.73472347597681e-16; -257/1000
Check failed for (fp64): x = -1.59592906802361; diff = 7.45931094670027e-16; -254/1000
Check failed for (fp64): x = -1.58964588271644; diff = 1.38430933382949e-15; -253/1000
Check failed for (fp64): x = -1.58336269740926; diff = 1.6306400674182e-15; -252/1000
Check failed for (fp64): x = -1.57707951210208; diff = 6.94756752128711e-16; -251/1000
Check failed for (fp64): x = -1.56451314148772; diff = 4.50160742015981e-16; -249/1000
Check failed for (fp64): x = -1.55822995618054; diff = 1.38777878078145e-15; -248/1000
Check failed for (fp64): x = -1.55194677087336; diff = 1.13797860024079e-15; -247/1000
Check failed for (fp64): x = -1.54566358556618; diff = 4.9960036108132e-16; -246/1000
Check failed for (fp64): x = -1.539380400259; diff = 1.59594559789866e-16; -245/1000
Check failed for (fp64): x = -1.53309721495182; diff = 3.33066907387547e-16; -244/1000
Check failed for (fp64): x = -1.52681402964464; diff = 4.23272528138341e-16; -243/1000
Check failed for (fp64): x = -1.52053084433746; diff = 2.4980018054066e-16; -242/1000
Check failed for (fp64): x = -1.5079644737231; diff = 2.22044604925031e-16; -240/1000
Check failed for (fp64): x = -1.50168128841592; diff = 1.66533453693773e-16; -239/1000
Check failed for (fp64): x = -1.49539810310874; diff = 3.19189119579733e-16; -238/1000
Check failed for (fp64): x = -1.46398217657284; diff = 2.4980018054066e-16; -233/1000
Check failed for (fp64): x = -1.45769899126566; diff = 2.08166817117217e-16; -232/1000
Check failed for (fp64): x = -1.4451326206513; diff = 1.38777878078145e-16; -230/1000
Check failed for (fp64): x = -1.43884943534413; diff = 1.11022302462516e-16; -229/1000
