Check failed for (fp32): x = -2.38761; diff = 1.192093e-07; -380/1000
Check failed for (fp32): x = -2.375044; diff = 1.192093e-07; -378/1000
Check failed for (fp32): x = -2.368761; diff = 1.192093e-07; -377/1000
Check failed for (fp32): x = -2.356194; diff = 1.192093e-07; -375/1000
Check failed for (fp32): x = -2.349911; diff = 5.960464e-08; -374/1000
Check failed for (fp32): x = -2.337345; diff = 1.788139e-07; -372/1000
Check failed for (fp32): x = -2.331062; diff = 5.960464e-08; -371/1000
Check failed for (fp32): x = -2.318495; diff = 5.960464e-08; -369/1000
Check failed for (fp32): x = -2.299646; diff = 5.960464e-08; -366/1000
Check failed for (fp32): x = -2.293363; diff = 5.960464e-08; -365/1000
Check failed for (fp32): x = -2.28708; diff = 5.960464e-08; -364/1000
Check failed for (fp32): x = -2.274513; diff = 5.960464e-08; -362/1000
Check failed for (fp32): x = -2.26823; diff = 5.960464e-08; -361/1000
Check failed for (fp32): x = -2.261947; diff = 5.960464e-08; -360/1000
Check failed for (fp32): x = -2.255664; diff = 5.960464e-08; -359/1000
Check failed for (fp32): x = -2.24938; diff = 5.960464e-08; -358/1000
Check failed for (fp32): x = -2.243097; diff = 5.960464e-08; -357/1000
Check failed for (fp32): x = -2.230531; diff = 5.960464e-08; -355/1000
Check failed for (fp32): x = -2.224248; diff = 5.960464e-08; -354/1000
Check failed for (fp32): x = -2.217964; diff = 5.960464e-08; -353/1000
Check failed for (fp32): x = -2.211681; diff = 5.960464e-08; -352/1000
Check failed for (fp32): x = -2.186548; diff = 1.192093e-07; -348/1000
Check failed for (fp32): x = -2.180265; diff = 5.960464e-08; -347/1000
Check failed for (fp32): x = -2.173982; diff = 5.960464e-08; -346/1000
Check failed for (fp32): x = -2.167699; diff = 5.960464e-08; -345/1000
Check failed for (fp32): x = -2.155133; diff = 5.960464e-08; -343/1000
Check failed for (fp32): x = -2.148849; diff = 1.192093e-07; -342/1000
Check failed for (fp32): x = -2.123717; diff = 5.960464e-08; -338/1000
Check failed for (fp32): x = -2.117434; diff = 5.960464e-08; -337/1000
Check failed for (fp32): x = -2.11115; diff = 5.960464e-08; -336/1000
Check failed for (fp32): x = -2.104867; diff = 5.960464e-08; -335/1000
Check failed for (fp32): x = -2.092301; diff = 5.960464e-08; -333/1000
Check failed for (fp32): x = -2.073451; diff = 5.960464e-08; -330/1000
Check failed for (fp32): x = -2.060885; diff = 5.960464e-08; -328/1000
Check failed for (fp32): x = -2.054602; diff = 5.960464e-08; -327/1000
Check failed for (fp32): x = -2.048318; diff = 5.960464e-08; -326/1000
Check failed for (fp32): x = -2.042035; diff = 5.960464e-08; -325/1000
Check failed for (fp32): x = -2.004336; diff = 5.960464e-08; -319/1000
Check failed for (fp32): x = -1.99177; diff = 5.960464e-08; -317/1000
Check failed for (fp32): x = -1.985487; diff = 5.960464e-08; -316/1000
Check failed for (fp32): x = -1.966637; diff = 5.960464e-08; -313/1000
Check failed for (fp32): x = -1.960354; diff = 5.960464e-08; -312/1000
Check failed for (fp32): x = -1.935221; diff = 5.960464e-08; -308/1000
Check failed for (fp32): x = -1.922655; diff = 5.960464e-08; -306/1000
Check failed for (fp32): x = -1.910088; diff = 5.960464e-08; -304/1000
Check failed for (fp32): x = -1.872389; diff = 5.960464e-08; -298/1000
Check failed for (fp32): x = -1.840973; diff = 5.960464e-08; -293/1000
Check failed for (fp32): x = -1.83469; diff = 5.960464e-08; -292/1000
Check failed for (fp32): x = -1.809557; diff = 5.960464e-08; -288/1000
Check failed for (fp32): x = -1.771858; diff = 5.960464e-08; -282/1000
Check failed for (fp32): x = -1.765575; diff = 5.960464e-08; -281/1000
Check failed for (fp32): x = -1.721593; diff = 5.960464e-08; -274/1000
Check failed for (fp32): x = -1.71531; diff = 8.940697e-08; -273/1000
Check failed for (fp32): x = -1.57708; diff = 7.031485e-08; -251/1000
Check failed for (fp32): x = -1.55823; diff = 7.82311e-08; -248/1000
Check failed for (fp32): x = -1.438849; diff = 5.960464e-08; -229/1000
Check failed for (fp32): x = -1.388584; diff = 5.960464e-08; -221/1000
Check failed for (fp32): x = -1.382301; diff = 7.450581e-08; -220/1000
Check failed for (fp32): x = -1.376018; diff = 5.960464e-08; -219/1000
Check failed for (fp32): x = -1.244071; diff = 5.960464e-08; -198/1000
Check failed for (fp32): x = -1.193805; diff = 5.960464e-08; -190/1000
Check failed for (fp32): x = -1.162389; diff = 5.960464e-08; -185/1000
Check failed for (fp32): x = -1.156106; diff = 5.960464e-08; -184/1000
Check failed for (fp32): x = -1.149823; diff = 8.940697e-08; -183/1000
Check failed for (fp32): x = -1.14354; diff = 5.960464e-08; -182/1000
Check failed for (fp32): x = -1.137257; diff = 5.960464e-08; -181/1000
Check failed for (fp32): x = -1.130973; diff = 5.960464e-08; -180/1000
Check failed for (fp32): x = -1.12469; diff = 1.490116e-07; -179/1000
Check failed for (fp32): x = -1.118407; diff = 5.960464e-08; -178/1000
Check failed for (fp32): x = -1.099557; diff = 5.960464e-08; -175/1000
Check failed for (fp32): x = -1.093274; diff = 5.960464e-08; -174/1000
Check failed for (fp32): x = -1.080708; diff = 5.960464e-08; -172/1000
Check failed for (fp32): x = -1.074425; diff = 1.192093e-07; -171/1000
Check failed for (fp32): x = -1.068142; diff = 5.960464e-08; -170/1000
Check failed for (fp32): x = -1.055575; diff = 5.960464e-08; -168/1000
Check failed for (fp32): x = -1.049292; diff = 5.960464e-08; -167/1000
Check failed for (fp32): x = -1.043009; diff = 5.960464e-08; -166/1000
Check failed for (fp32): x = -1.030442; diff = 5.960464e-08; -164/1000
Check failed for (fp32): x = -1.024159; diff = 5.960464e-08; -163/1000
Check failed for (fp32): x = -1.011593; diff = 5.960464e-08; -161/1000
Check failed for (fp32): x = -1.00531; diff = 5.960464e-08; -160/1000
Check failed for (fp32): x = -0.9990265; diff = 5.960464e-08; -159/1000
Check failed for (fp32): x = -0.9927434; diff = 5.960464e-08; -158/1000
Check failed for (fp32): x = -0.9864601; diff = 5.960464e-08; -157/1000
Check failed for (fp32): x = -0.9801769; diff = 1.192093e-07; -156/1000
Check failed for (fp32): x = -0.9738938; diff = 5.960464e-08; -155/1000
Check failed for (fp32): x = -0.9676105; diff = 5.960464e-08; -154/1000
Check failed for (fp32): x = -0.9613274; diff = 5.960464e-08; -153/1000
Check failed for (fp32): x = -0.9550442; diff = 5.960464e-08; -152/1000
Check failed for (fp32): x = -0.9424779; diff = 5.960464e-08; -150/1000
Check failed for (fp32): x = -0.9361947; diff = 5.960464e-08; -149/1000
Check failed for (fp32): x = -0.9299114; diff = 5.960464e-08; -148/1000
Check failed for (fp32): x = -0.9236283; diff = 5.960464e-08; -147/1000
Check failed for (fp32): x = -0.917345; diff = 1.192093e-07; -146/1000
Check failed for (fp32): x = -0.9110619; diff = 5.960464e-08; -145/1000
Check failed for (fp32): x = -0.8984956; diff = 1.192093e-07; -143/1000
Check failed for (fp32): x = -0.8922124; diff = 5.960464e-08; -142/1000
Check failed for (fp32): x = -0.8796459; diff = 5.960464e-08; -140/1000
