Check failed for (fp128): alpha = -1.621061809252333311046723985772223376e+00; diff1 = 1.004886363595391144285794205719854225e-01; diff2 = 6.379642940782718763247926934812571743e-34; -258/1000
Check failed for (fp128): alpha = -1.614778623945153724569798699005664475e+00; diff1 = 8.793623663572980785408347295358177474e-02; diff2 = 1.041205876184349383058388075209976332e-33; -257/1000
Check failed for (fp128): alpha = -1.608495438637974138092873412239105381e+00; diff1 = 7.538036533986907715278845481170076379e-02; diff2 = 7.884275709835246773447909702457046210e-34; -256/1000
Check failed for (fp128): alpha = -1.602212253330794551615948125472546481e+00; diff1 = 6.282151815625658767836734763565906299e-02; diff2 = 2.648153673532449297951969671054275063e-34; -255/1000
Check failed for (fp128): alpha = -1.595929068023614965139022838705987580e+00; diff1 = 5.026019088667495768793241077622492997e-02; diff2 = 1.179632090937181959996786489833267983e-33; -254/1000
Check failed for (fp128): alpha = -1.589645882716435378662097551939428294e+00; diff1 = 3.769687943081635291289667995492318035e-02; diff2 = 1.023150282955719046935988281998242638e-33; -253/1000
Check failed for (fp128): alpha = -1.583362697409255792185172265172869393e+00; diff1 = 2.513207976670521582854917829758573959e-02; diff2 = 3.388432995906293078970361192735356501e-33; -252/1000
Check failed for (fp128): alpha = -1.577079512102076205708246978406310300e+00; diff1 = 1.256628793111790249947062031591863207e-02; diff2 = 6.274318646949041802533928141077458530e-34; -251/1000
Check failed for (fp128): alpha = -1.564513141487717032754396404873192305e+00; diff1 = 9.072935597386743901505896088896181040e-34; diff2 = 1.256628793111790249947062031591891193e-02; -249/1000
Check failed for (fp128): alpha = -1.558229956180537446277471118106633404e+00; diff1 = 3.475701696511339703561960193258736020e-33; diff2 = 2.513207976670521582854917829758582685e-02; -248/1000
Check failed for (fp128): alpha = -1.551946770873357859800545831340074504e+00; diff1 = 1.107409718022660615507187316986333208e-33; diff2 = 3.769687943081635291289667995492326461e-02; -247/1000
Check failed for (fp128): alpha = -1.545663585566178273323620544573515410e+00; diff1 = 1.287965650308963976731185249103670144e-33; diff2 = 5.026019088667495768793241077622482164e-02; -246/1000
Check failed for (fp128): alpha = -1.533097214951819100369769971040397223e+00; diff1 = 5.115751414778595234679941409991213190e-34; diff2 = 7.538036533986907715278845481170102861e-02; -244/1000
Check failed for (fp128): alpha = -1.526814029644639513892844684273838323e+00; diff1 = 1.125465311251290951629587110198066902e-33; diff2 = 8.793623663572980785408347295358187103e-02; -243/1000
Check failed for (fp128): alpha = -1.520530844337459927415919397507279422e+00; diff1 = 5.537048590113303077535936584931666041e-34; diff2 = 1.004886363595391144285794205719855067e-01; -242/1000
Check failed for (fp128): alpha = -1.514247659030280340938994110740720328e+00; diff1 = 4.935195482492291873455943477873876254e-34; diff2 = 1.130370689640490518293635039568108718e-01; -241/1000
Check failed for (fp128): alpha = -1.489114917801561995031292963674484340e+00; diff1 = 4.935195482492291873455943477873876254e-34; diff2 = 1.631812231363151048563158314529220064e-01; -237/1000
Check failed for (fp128): alpha = -1.476548547187202822077442390141366153e+00; diff1 = 1.925929944387235853055977942584927319e-34; diff2 = 1.882166266370286369465336977709523876e-01; -235/1000
Check failed for (fp128): alpha = -1.438849435344125303215890669542012363e+00; diff1 = 4.574083617919685151007947613639202382e-34; diff2 = 2.631287181845650071383585603709530362e-01; -229/1000
Check failed for (fp128): alpha = -1.426283064729766130262040096008894176e+00; diff1 = 3.611118645726067224479958642346738722e-34; diff2 = 2.880215651045043258683198602970020148e-01; -227/1000
Check failed for (fp128): alpha = -1.419999879422586543785114809242335275e+00; diff1 = 2.166671187435640334687975185408043233e-34; diff2 = 3.004511782415141100334551500245115932e-01; -226/1000
Check failed for (fp128): alpha = -1.413716694115406957308189522475776374e+00; diff1 = 2.407412430484044816319972428231159148e-34; diff2 = 3.128689300804617380202106389343333942e-01; -225/1000
