Check failed for (fp64): alpha = -4.85690224244982; diff1 = 4.16333634234434e-16; diff2 = 0.291055493044041; -773/1000
Check failed for (fp64): alpha = -4.84433587183546; diff1 = 4.16333634234434e-16; diff2 = 0.265435985699696; -771/1000
Check failed for (fp64): alpha = -4.83805268652828; diff1 = 3.60822483003176e-16; diff2 = 0.252658756892216; -770/1000
Check failed for (fp64): alpha = -4.8317695012211; diff1 = 4.30211422042248e-16; diff2 = 0.23990179613726; -769/1000
Check failed for (fp64): alpha = -4.82548631591392; diff1 = 4.30211422042248e-16; diff2 = 0.22716405032551; -768/1000
Check failed for (fp64): alpha = -4.81920313060674; diff1 = 7.21644966006352e-16; diff2 = 0.214444472547776; -767/1000
Check failed for (fp64): alpha = -4.81291994529956; diff1 = 2.35922392732846e-16; diff2 = 0.201742021744375; -766/1000
Check failed for (fp64): alpha = -4.8003535746852; diff1 = 1.52655665885959e-16; diff2 = 0.176384363993718; -764/1000
Check failed for (fp64): alpha = -4.79407038937802; diff1 = 3.7470027081099e-16; diff2 = 0.163727101074076; -763/1000
Check failed for (fp64): alpha = -4.78778720407084; diff1 = 6.38378239159465e-16; diff2 = 0.151082852508754; -762/1000
Check failed for (fp64): alpha = -4.78150401876367; diff1 = 2.35922392732846e-16; diff2 = 0.13845060135884; -761/1000
Check failed for (fp64): alpha = -4.77522083345649; diff1 = 8.18789480661053e-16; diff2 = 0.125829334507299; -760/1000
Check failed for (fp64): alpha = -4.76893764814931; diff1 = 2.22044604925031e-16; diff2 = 0.113218042331476; -759/1000
Check failed for (fp64): alpha = -4.76265446284213; diff1 = 2.28983498828939e-16; diff2 = 0.100615718377968; -758/1000
Check failed for (fp64): alpha = -4.75637127753495; diff1 = 1.29757316003065e-15; diff2 = 0.0880213590396422; -757/1000
Check failed for (fp64): alpha = -4.75008809222777; diff1 = 5.89805981832114e-16; diff2 = 0.0754339632345769; -756/1000
Check failed for (fp64): alpha = -4.74380490692059; diff1 = 1.38083988687754e-15; diff2 = 0.0628525320867002; -755/1000
Check failed for (fp64): alpha = -4.73752172161341; diff1 = 1.38083988687754e-15; diff2 = 0.0502760686079363; -754/1000
Check failed for (fp64): alpha = -4.73123853630623; diff1 = 3.98292510084275e-15; diff2 = 0.0377035773815762; -753/1000
Check failed for (fp64): alpha = -4.72495535099905; diff1 = 9.38485400503453e-16; diff2 = 0.0251340642467599; -752/1000
Check failed for (fp64): alpha = -4.71867216569187; diff1 = 5.33167260341472e-15; diff2 = 0.0125665359837837; -751/1000
Check failed for (fp64): alpha = -4.71238898038469; diff1 = 1.83697019872103e-16; diff2 = 1.83697019872103e-16; -750/1000
Check failed for (fp64): alpha = -4.70610579507751; diff1 = 0.0125665359837841; diff2 = 4.96477858824562e-15; -749/1000
Check failed for (fp64): alpha = -4.69982260977033; diff1 = 0.0251340642467603; diff2 = 5.7072402359637e-16; -748/1000
Check failed for (fp64): alpha = -4.69353942446315; diff1 = 0.0377035773815766; diff2 = 3.61516372393567e-15; -747/1000
Check failed for (fp64): alpha = -4.68725623915597; diff1 = 0.0502760686079367; diff2 = 1.0096090630185e-15; -746/1000
Check failed for (fp64): alpha = -4.68097305384879; diff1 = 0.0628525320867006; diff2 = 1.74860126378462e-15; -745/1000
Check failed for (fp64): alpha = -4.67468986854161; diff1 = 0.0754339632345773; diff2 = 2.22044604925031e-16; -744/1000
Check failed for (fp64): alpha = -4.66840668323443; diff1 = 0.0880213590396425; diff2 = 9.29811783123569e-16; -743/1000
Check failed for (fp64): alpha = -4.66212349792725; diff1 = 0.100615718377968; diff2 = 1.38777878078145e-16; -742/1000
Check failed for (fp64): alpha = -4.65584031262007; diff1 = 0.113218042331476; diff2 = 1.59594559789866e-16; -741/1000
Check failed for (fp64): alpha = -4.64955712731289; diff1 = 0.1258293345073; diff2 = 4.44089209850063e-16; -740/1000
Check failed for (fp64): alpha = -4.64327394200571; diff1 = 0.13845060135884; diff2 = 6.10622663543836e-16; -739/1000
Check failed for (fp64): alpha = -4.63699075669853; diff1 = 0.151082852508754; diff2 = 2.63677968348475e-16; -738/1000
Check failed for (fp64): alpha = -4.62442438608418; diff1 = 0.176384363993719; diff2 = 2.08166817117217e-16; -736/1000
Check failed for (fp64): alpha = -4.618141200777; diff1 = 0.189055662358565; diff2 = 3.60822483003176e-16; -735/1000
Check failed for (fp64): alpha = -4.61185801546982; diff1 = 0.201742021744375; diff2 = 1.52655665885959e-16; -734/1000
Check failed for (fp64): alpha = -4.60557483016264; diff1 = 0.214444472547776; diff2 = 3.60822483003176e-16; -733/1000
Check failed for (fp64): alpha = -4.5867252742411; diff1 = 0.252658756892217; diff2 = 1.94289029309402e-16; -730/1000
Check failed for (fp64): alpha = -4.57415890362674; diff1 = 0.278234542224039; diff2 = 3.60822483003176e-16; -728/1000
Check failed for (fp64): alpha = -4.56159253301238; diff1 = 0.303899912017212; diff2 = 3.60822483003176e-16; -726/1000
Check failed for (fp64): alpha = -4.5553093477052; diff1 = 0.316768880649073; diff2 = 4.44089209850063e-16; -725/1000
Check failed for (fp64): alpha = -4.54902616239802; diff1 = 0.329663488467859; diff2 = 2.77555756156289e-16; -724/1000
Check failed for (fp64): alpha = -4.54274297709084; diff1 = 0.342584833404808; diff2 = 2.77555756156289e-16; -723/1000
Check failed for (fp64): alpha = -4.53645979178366; diff1 = 0.355534022180415; diff2 = 3.60822483003176e-16; -722/1000
Check failed for (fp64): alpha = -4.53017660647648; diff1 = 0.368512170696889; diff2 = 1.11022302462516e-16; -721/1000
Check failed for (fp64): alpha = -4.5238934211693; diff1 = 0.381520404437133; diff2 = 2.22044604925031e-16; -720/1000
Check failed for (fp64): alpha = -4.51132705055494; diff1 = 0.407631679866241; diff2 = 1.38777878078145e-16; -718/1000
Check failed for (fp64): alpha = -4.49876067994058; diff1 = 0.433877059548359; diff2 = 1.11022302462516e-16; -716/1000
Check failed for (fp64): alpha = -4.48619430932622; diff1 = 0.460265934602908; diff2 = 1.38777878078145e-16; -714/1000
Check failed for (fp64): alpha = -4.46734475340469; diff1 = 0.5001393254718; diff2 = 1.11022302462516e-16; -711/1000
Check failed for (fp64): alpha = -4.44849519748315; diff1 = 0.540390444146299; diff2 = 3.33066907387547e-16; -708/1000
Check failed for (fp64): alpha = -4.44221201217597; diff1 = 0.553897336618221; diff2 = 1.11022302462516e-16; -707/1000
Check failed for (fp64): alpha = -4.42964564156161; diff1 = 0.581053713463834; diff2 = 1.11022302462516e-16; -705/1000
Check failed for (fp64): alpha = -4.41707927094725; diff1 = 0.608409116105664; diff2 = 1.11022302462516e-16; -703/1000
Check failed for (fp64): alpha = -4.38566334441135; diff1 = 0.677740859876189; diff2 = 1.66533453693773e-16; -698/1000
Check failed for (fp64): alpha = -4.36681378848981; diff1 = 0.720044306191515; diff2 = 1.66533453693773e-16; -695/1000
Check failed for (fp64): alpha = -4.36053060318263; diff1 = 0.734271850033969; diff2 = 1.66533453693773e-16; -694/1000
Check failed for (fp64): alpha = -4.35424741787545; diff1 = 0.748565186224845; diff2 = 1.11022302462516e-16; -693/1000
Check failed for (fp64): alpha = -4.34796423256827; diff1 = 0.762925908676542; diff2 = 2.22044604925031e-16; -692/1000
Check failed for (fp64): alpha = -4.34168104726109; diff1 = 0.777355637058837; diff2 = 1.11022302462516e-16; -691/1000
Check failed for (fp64): alpha = -4.33539786195391; diff1 = 0.791856017595444; diff2 = 1.11022302462516e-16; -690/1000
Check failed for (fp64): alpha = -4.32911467664673; diff1 = 0.806428723883493; diff2 = 1.11022302462516e-16; -689/1000
Check failed for (fp64): alpha = -4.32283149133955; diff1 = 0.821075457736931; diff2 = 1.66533453693773e-16; -688/1000
Check failed for (fp64): alpha = -4.31654830603238; diff1 = 0.835797950054696; diff2 = 1.11022302462516e-16; -687/1000
Check failed for (fp64): alpha = -4.3102651207252; diff1 = 0.850597961714746; diff2 = 1.66533453693773e-16; -686/1000
Check failed for (fp64): alpha = -4.29769875011084; diff1 = 0.880437742021342; diff2 = 1.11022302462516e-16; -684/1000
Check failed for (fp64): alpha = -4.28513237949648; diff1 = 0.910609520958098; diff2 = 1.11022302462516e-16; -682/1000
Check failed for (fp64): alpha = -4.25999963826776; diff1 = 0.972010705718402; diff2 = 1.11022302462516e-16; -678/1000
Check failed for (fp64): alpha = -4.25371645296058; diff1 = 0.987593056472947; diff2 = 1.11022302462516e-16; -677/1000
Check failed for (fp64): alpha = -4.2474332676534; diff1 = 1.00327240151303; diff2 = 2.22044604925031e-16; -676/1000
