Check failed for (fp32): alpha = -4.611858; diff1 = 0.201741; diff2 = 2.682209e-07; -734/1000
Check failed for (fp32): alpha = -4.605575; diff1 = 0.2144448; diff2 = 1.788139e-07; -733/1000
Check failed for (fp32): alpha = -4.599292; diff1 = 0.2271636; diff2 = 1.341105e-07; -732/1000
Check failed for (fp32): alpha = -4.586726; diff1 = 0.2526577; diff2 = 1.788139e-07; -730/1000
Check failed for (fp32): alpha = -4.580442; diff1 = 0.2654362; diff2 = 1.043081e-07; -729/1000
Check failed for (fp32): alpha = -4.567876; diff1 = 0.291055; diff2 = 1.639128e-07; -727/1000
Check failed for (fp32): alpha = -4.561593; diff1 = 0.3038997; diff2 = 8.940697e-08; -726/1000
Check failed for (fp32): alpha = -4.55531; diff1 = 0.3167679; diff2 = 1.043081e-07; -725/1000
Check failed for (fp32): alpha = -4.549026; diff1 = 0.3296638; diff2 = 7.450581e-08; -724/1000
Check failed for (fp32): alpha = -4.530177; diff1 = 0.368512; diff2 = 8.940697e-08; -721/1000
Check failed for (fp32): alpha = -4.523894; diff1 = 0.3815194; diff2 = 1.788139e-07; -720/1000
Check failed for (fp32): alpha = -4.511327; diff1 = 0.4076312; diff2 = 5.960464e-08; -718/1000
Check failed for (fp32): alpha = -4.505044; diff1 = 0.4207367; diff2 = 1.341105e-07; -717/1000
Check failed for (fp32): alpha = -4.498761; diff1 = 0.4338772; diff2 = 2.086163e-07; -716/1000
Check failed for (fp32): alpha = -4.486194; diff1 = 0.4602664; diff2 = 1.192093e-07; -714/1000
Check failed for (fp32): alpha = -4.473628; diff1 = 0.4868076; diff2 = 7.450581e-08; -712/1000
Check failed for (fp32): alpha = -4.467345; diff1 = 0.5001384; diff2 = 1.490116e-07; -711/1000
Check failed for (fp32): alpha = -4.461061; diff1 = 0.5135128; diff2 = 5.960464e-08; -710/1000
Check failed for (fp32): alpha = -4.448495; diff1 = 0.5403901; diff2 = 5.960464e-08; -708/1000
Check failed for (fp32): alpha = -4.423363; diff1 = 0.5947053; diff2 = 8.940697e-08; -704/1000
Check failed for (fp32): alpha = -4.417079; diff1 = 0.6084086; diff2 = 8.940697e-08; -703/1000
Check failed for (fp32): alpha = -4.404513; diff1 = 0.6359746; diff2 = 8.940697e-08; -701/1000
Check failed for (fp32): alpha = -4.391947; diff1 = 0.6637605; diff2 = 8.940697e-08; -699/1000
Check failed for (fp32): alpha = -4.37938; diff1 = 0.6917801; diff2 = 8.940697e-08; -697/1000
Check failed for (fp32): alpha = -4.354248; diff1 = 0.7485647; diff2 = 1.192093e-07; -693/1000
Check failed for (fp32): alpha = -4.347964; diff1 = 0.7629257; diff2 = 5.960464e-08; -692/1000
Check failed for (fp32): alpha = -4.322832; diff1 = 0.8210751; diff2 = 5.960464e-08; -688/1000
Check failed for (fp32): alpha = -4.316548; diff1 = 0.8357979; diff2 = 5.960464e-08; -687/1000
Check failed for (fp32): alpha = -4.303982; diff1 = 0.8654765; diff2 = 8.940697e-08; -685/1000
Check failed for (fp32): alpha = -4.297699; diff1 = 0.8804373; diff2 = 5.960464e-08; -684/1000
Check failed for (fp32): alpha = -4.285132; diff1 = 0.9106094; diff2 = 5.960464e-08; -682/1000
Check failed for (fp32): alpha = -4.266283; diff1 = 0.9565227; diff2 = 5.960464e-08; -679/1000
Check failed for (fp32): alpha = -4.253716; diff1 = 0.9875931; diff2 = 1.192093e-07; -677/1000
Check failed for (fp32): alpha = -4.24115; diff1 = 1.01905; diff2 = 5.960464e-08; -675/1000
Check failed for (fp32): alpha = -4.228584; diff1 = 1.050914; diff2 = 5.960464e-08; -673/1000
Check failed for (fp32): alpha = -4.222301; diff1 = 1.067003; diff2 = 1.192093e-07; -672/1000
Check failed for (fp32): alpha = -4.203451; diff1 = 1.11593; diff2 = 5.960464e-08; -669/1000
Check failed for (fp32): alpha = -4.197168; diff1 = 1.132467; diff2 = 1.192093e-07; -668/1000
Check failed for (fp32): alpha = -4.190885; diff1 = 1.149122; diff2 = 5.960464e-08; -667/1000
Check failed for (fp32): alpha = -4.178319; diff1 = 1.182796; diff2 = 5.960464e-08; -665/1000
Check failed for (fp32): alpha = -4.165752; diff1 = 1.216975; diff2 = 5.960464e-08; -663/1000
Check failed for (fp32): alpha = -4.159469; diff1 = 1.234261; diff2 = 5.960464e-08; -662/1000
Check failed for (fp32): alpha = -4.146903; diff1 = 1.269238; diff2 = 5.960464e-08; -660/1000
Check failed for (fp32): alpha = -4.140619; diff1 = 1.286936; diff2 = 1.192093e-07; -659/1000
Check failed for (fp32): alpha = -4.134336; diff1 = 1.304779; diff2 = 5.960464e-08; -658/1000
Check failed for (fp32): alpha = -4.128053; diff1 = 1.322767; diff2 = 5.960464e-08; -657/1000
Check failed for (fp32): alpha = -4.12177; diff1 = 1.340905; diff2 = 5.960464e-08; -656/1000
Check failed for (fp32): alpha = -4.096637; diff1 = 1.415031; diff2 = 5.960464e-08; -652/1000
Check failed for (fp32): alpha = -4.071504; diff1 = 1.49184; diff2 = 5.960464e-08; -648/1000
Check failed for (fp32): alpha = -4.065221; diff1 = 1.51149; diff2 = 5.960464e-08; -647/1000
Check failed for (fp32): alpha = -4.052655; diff1 = 1.551358; diff2 = 5.960464e-08; -645/1000
Check failed for (fp32): alpha = -4.033805; diff1 = 1.612643; diff2 = 5.960464e-08; -642/1000
Check failed for (fp32): alpha = -4.027522; diff1 = 1.633487; diff2 = 5.960464e-08; -641/1000
Check failed for (fp32): alpha = -4.021239; diff1 = 1.654543; diff2 = 5.960464e-08; -640/1000
Check failed for (fp32): alpha = -4.014956; diff1 = 1.675821; diff2 = 5.960464e-08; -639/1000
Check failed for (fp32): alpha = -3.996106; diff1 = 1.741026; diff2 = 5.960464e-08; -636/1000
Check failed for (fp32): alpha = -3.989823; diff1 = 1.763237; diff2 = 5.960464e-08; -635/1000
Check failed for (fp32): alpha = -3.98354; diff1 = 1.785695; diff2 = 5.960464e-08; -634/1000
Check failed for (fp32): alpha = -3.977257; diff1 = 1.808406; diff2 = 5.960464e-08; -633/1000
Check failed for (fp32): alpha = -3.970973; diff1 = 1.831377; diff2 = 5.960464e-08; -632/1000
